,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.03320604],[0.077],[0.207],[0.13],[0.17379396],[0.13]
1,[0.03490578],[0.057],[0.187],[0.13],[0.15209422],[0.13]
2,[0.03349254],[0.039],[0.169],[0.13],[0.13550746],[0.13]
3,[0.04158661],[0.031],[0.171],[0.14],[0.12941339],[0.14]
4,[0.03088437],[0.012],[0.232],[0.22],[0.20111563],[0.22]
5,[0.04299731],[0.026],[0.276],[0.25],[0.23300269],[0.25]
6,[0.02364829],[0.01],[0.26],[0.25],[0.23635171],[0.25]
7,[0.01563838],[0.009],[0.239],[0.23],[0.22336162],[0.23]
8,[0.02290697],[-0.004],[0.216],[0.22],[0.19309303],[0.22]
9,[0.02358444],[-0.004],[0.196],[0.2],[0.17241556],[0.2]
10,[0.02758744],[-0.013],[0.177],[0.19],[0.14941256],[0.19]
11,[0.0283442],[-0.02],[0.16],[0.18],[0.1316558],[0.18]
12,[0.03059131],[-0.008],[0.162],[0.17],[0.13140869],[0.17]
13,[0.02885612],[0.012],[0.162],[0.15],[0.13314388],[0.15]
14,[0.02101563],[-0.004],[0.146],[0.15],[0.12498437],[0.15]
15,[0.00978557],[-0.009],[0.131],[0.14],[0.12121443],[0.14]
16,[0.01514132],[-0.012],[0.118],[0.13],[0.10285868],[0.13]
17,[0.01368758],[-0.014],[0.106],[0.12],[0.09231242],[0.12]
18,[0.01731616],[-0.026],[0.094],[0.12],[0.07668384],[0.12]
19,[0.01841119],[-0.019],[0.101],[0.12],[0.08258881],[0.12]
20,[-0.05753195],[-0.038],[0.202],[0.24],[0.25953195],[0.24]
21,[-0.01629432],[-0.01],[0.3],[0.31],[0.31629432],[0.31]
22,[-0.00194487],[-0.004],[0.296],[0.3],[0.29794487],[0.3]
23,[-0.11054691],[-0.024],[0.346],[0.37],[0.45654691],[0.37]
24,[-0.02014642],[0.021],[0.391],[0.37],[0.41114642],[0.37]
25,[-0.01639191],[0.004],[0.354],[0.35],[0.37039191],[0.35]
26,[-0.00637384],[0.003],[0.323],[0.32],[0.32937384],[0.32]
27,[-0.00134341],[0.009],[0.299],[0.29],[0.30034341],[0.29]
28,[0.00924758],[-0.003],[0.277],[0.28],[0.26775242],[0.28]
29,[-0.013654],[0.004],[0.284],[0.28],[0.297654],[0.28]
30,[-0.03505565],[0.036],[0.306],[0.27],[0.34105565],[0.27]
31,[-0.03440517],[0.047],[0.307],[0.26],[0.34140517],[0.26]
32,[-0.01248785],[0.041],[0.291],[0.25],[0.30348785],[0.25]
33,[-0.0059765],[0.037],[0.267],[0.23],[0.2729765],[0.23]
34,[0.00446927],[0.025],[0.245],[0.22],[0.24053073],[0.22]
35,[-0.03800071],[0.065],[0.275],[0.21],[0.31300071],[0.21]
36,[-0.01650552],[0.095],[0.325],[0.23],[0.34150552],[0.23]
37,[-0.08173115],[0.099],[0.389],[0.29],[0.47073115],[0.29]
38,[0.04730491],[0.124],[0.424],[0.3],[0.37669509],[0.3]
39,[-0.07566966],[0.045],[0.395],[0.35],[0.47066966],[0.35]
40,[-0.11917289],[-0.005],[0.445],[0.45],[0.56417289],[0.45]
41,[-0.13960572],[-0.161],[0.519],[0.68],[0.65860572],[0.68]
42,[-0.14275247],[-0.391],[0.599],[0.99],[0.74175247],[0.99]
43,[-0.12818797],[-0.286],[0.674],[0.96],[0.80218797],[0.96]
44,[-0.14564134],[-0.386],[0.784],[1.17],[0.92964134],[1.17]
45,[-0.06577015],[-0.338],[0.872],[1.21],[0.93777015],[1.21]
46,[-0.02271684],[-0.259],[0.831],[1.09],[0.85371684],[1.09]
47,[-0.13752401],[-0.272],[0.858],[1.13],[0.99552401],[1.13]
48,[0.02349312],[-0.158],[0.912],[1.07],[0.88850688],[1.07]
49,[-0.03862777],[-0.287],[0.863],[1.15],[0.90162777],[1.15]
50,[-0.1713275],[-0.315],[0.975],[1.29],[1.1463275],[1.29]
51,[-0.06666268],[-0.391],[1.099],[1.49],[1.16566268],[1.49]
52,[-0.15412252],[-0.316],[1.204],[1.52],[1.35812252],[1.52]
53,[0.08792721],[0.025],[1.265],[1.24],[1.17707279],[1.24]
54,[0.06586431],[-0.102],[1.158],[1.26],[1.09213569],[1.26]
55,[-0.14963342],[-0.459],[1.371],[1.83],[1.52063342],[1.83]
56,[0.013169],[-0.161],[1.589],[1.75],[1.575831],[1.75]
57,[-0.10796286],[-0.248],[1.652],[1.9],[1.75996286],[1.9]
58,[0.10829016],[0.069],[1.709],[1.64],[1.60070984],[1.64]
59,[0.17939162],[0.159],[1.599],[1.44],[1.41960838],[1.44]
