,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.07749991],[0.101],[0.531],[0.43],[0.45350009],[0.43]
1,[-0.06498699],[0.016],[0.406],[0.39],[0.47098699],[0.39]
2,[-0.10361254],[-0.03],[0.32],[0.35],[0.42361254],[0.35]
3,[-0.18679853],[-0.067],[0.253],[0.32],[0.43979853],[0.32]
4,[-0.1866004],[-0.111],[0.189],[0.3],[0.3756004],[0.3]
5,[-0.12303224],[0.099],[0.399],[0.3],[0.52203224],[0.3]
6,[-0.3116953],[0.351],[0.691],[0.34],[1.00269531],[0.34]
7,[-0.44390783],[0.344],[0.804],[0.46],[1.24790783],[0.46]
8,[-0.529898],[0.358],[0.978],[0.62],[1.50789799],[0.62]
9,[-0.5534347],[0.281],[1.011],[0.73],[1.56443473],[0.73]
10,[-0.11570254],[0.06],[0.82],[0.76],[0.93570254],[0.76]
11,[0.03292568],[-0.025],[0.635],[0.66],[0.60207432],[0.66]
12,[0.00610143],[-0.069],[0.491],[0.56],[0.48489857],[0.56]
13,[-0.01793233],[-0.102],[0.378],[0.48],[0.39593233],[0.48]
14,[-0.14728442],[-0.13],[0.29],[0.42],[0.43728442],[0.42]
15,[-0.18316081],[-0.159],[0.221],[0.38],[0.40416081],[0.38]
16,[-0.11709942],[-0.183],[0.167],[0.35],[0.28409942],[0.35]
17,[-0.12474091],[-0.192],[0.138],[0.33],[0.26274091],[0.33]
18,[-0.10644245],[-0.185],[0.115],[0.3],[0.22144245],[0.3]
19,[-0.08799313],[-0.196],[0.084],[0.28],[0.17199313],[0.28]
20,[-0.08304399],[-0.185],[0.065],[0.25],[0.14804399],[0.25]
21,[-0.2389974],[0.043],[0.343],[0.3],[0.5819974],[0.3]
22,[-0.18477942],[0.21],[0.54],[0.33],[0.72477942],[0.33]
23,[-0.4141636],[0.07],[1.01],[0.94],[1.42416359],[0.94]
24,[-0.5870231],[-0.102],[1.748],[1.85],[2.33502308],[1.85]
25,[-0.6331192],[-0.164],[2.596],[2.76],[3.22911923],[2.76]
26,[-0.37768403],[0.872],[3.622],[2.75],[3.99968403],[2.75]
27,[-0.35660574],[-0.129],[5.001],[5.13],[5.35760574],[5.13]
28,[0.3300533],[-1.779],[6.181],[7.96],[5.8509467],[7.96]
29,[0.63132054],[-0.541],[14.749],[15.29],[14.11767946],[15.29]
30,[0.6037997],[1.833],[9.623],[7.79],[9.0192003],[7.79]
31,[0.00637078],[-1.164],[2.916],[4.08],[2.90962922],[4.08]
32,[-0.6220813],[-0.417],[1.873],[2.29],[2.49508128],[2.29]
33,[-0.55850935],[0.062],[1.462],[1.4],[2.02050935],[1.4]
34,[-0.3826599],[0.247],[1.227],[0.98],[1.60965991],[0.98]
35,[-0.37644917],[0.327],[1.037],[0.71],[1.41344917],[0.71]
36,[-0.1190275],[0.287],[0.807],[0.52],[0.9260275],[0.52]
37,[0.04093599],[0.192],[0.722],[0.53],[0.68106401],[0.53]
38,[-0.27185696],[0.095],[1.285],[1.19],[1.55685696],[1.19]
39,[-0.61587125],[0.554],[1.634],[1.08],[2.24987125],[1.08]
40,[-0.42888948],[0.497],[1.397],[0.9],[1.82588948],[0.9]
41,[-0.38105196],[-1.182],[1.928],[3.11],[2.30905196],[3.11]
42,[0.1855073],[-1.311],[5.859],[7.17],[5.6734927],[7.17]
43,[0.8290918],[-2.217],[10.053],[12.27],[9.22390821],[12.27]
44,[1.0131794],[1.059],[10.179],[9.12],[9.16582058],[9.12]
45,[0.30949852],[-0.591],[4.419],[5.01],[4.10950148],[5.01]
46,[0.2076879],[0.494],[4.124],[3.63],[3.9163121],[3.63]
47,[-0.5587777],[0.269],[2.599],[2.33],[3.15777769],[2.33]
48,[-0.7775618],[0.294],[1.814],[1.52],[2.59156178],[1.52]
49,[-0.5102374],[0.328],[1.498],[1.17],[2.0082374],[1.17]
50,[0.00740692],[0.399],[1.629],[1.23],[1.62159308],[1.23]
51,[0.15964386],[0.316],[2.756],[2.44],[2.59635614],[2.44]
52,[-0.17833926],[1.533],[4.993],[3.46],[5.17133926],[3.46]
53,[0.28040728],[0.132],[5.102],[4.97],[4.82159272],[4.97]
54,[1.000971],[2.589],[10.119],[7.53],[9.11802904],[7.53]
55,[0.19736646],[1.193],[6.193],[5.],[5.99563354],[5.]
56,[-0.27658677],[-0.887],[2.583],[3.47],[2.85958677],[3.47]
57,[-0.33039922],[-0.912],[2.538],[3.45],[2.86839922],[3.45]
58,[0.75982344],[2.218],[6.088],[3.87],[5.32817656],[3.87]
59,[0.6280026],[1.712],[4.752],[3.04],[4.12399742],[3.04]
60,[0.515795],[-0.368],[2.642],[3.01],[2.12620501],[3.01]
61,[1.1976423],[0.185],[3.585],[3.4],[2.38735767],[3.4]
62,[0.9767932],[0.288],[2.858],[2.57],[1.88120677],[2.57]
63,[0.18763085],[0.495],[2.045],[1.55],[1.85736915],[1.55]
64,[-0.9299377],[-0.482],[2.438],[2.92],[3.36793772],[2.92]
65,[0.361654],[0.534],[4.104],[3.57],[3.74234599],[3.57]
66,[0.2982256],[-0.697],[3.143],[3.84],[2.84477439],[3.84]
67,[-0.04892065],[-0.103],[3.437],[3.54],[3.48592065],[3.54]
68,[0.01666212],[0.015],[2.245],[2.23],[2.22833788],[2.23]
69,[-0.01091605],[0.24],[1.67],[1.43],[1.68091605],[1.43]
70,[0.4131828],[0.336],[1.326],[0.99],[0.9128172],[0.99]
71,[0.68706876],[0.275],[1.135],[0.86],[0.44793124],[0.86]
72,[0.59023523],[0.22],[0.96],[0.74],[0.36976477],[0.74]
73,[0.5176352],[0.137],[0.777],[0.64],[0.25936477],[0.64]
74,[0.05058907],[0.467],[1.127],[0.66],[1.07641093],[0.66]
75,[0.0835155],[0.708],[1.348],[0.64],[1.2644845],[0.64]
76,[0.03459405],[0.546],[1.066],[0.52],[1.03140595],[0.52]
77,[-0.0961069],[0.381],[0.851],[0.47],[0.9471069],[0.47]
78,[0.02458371],[0.281],[0.681],[0.4],[0.65641629],[0.4]
79,[0.07977347],[0.083],[0.593],[0.51],[0.51322653],[0.51]
80,[-1.7756555],[-0.564],[2.036],[2.6],[3.81165551],[2.6]
81,[0.8682683],[0.262],[2.822],[2.56],[1.95373169],[2.56]
82,[0.5040377],[0.191],[1.931],[1.74],[1.42696232],[1.74]
83,[0.15955546],[0.454],[1.614],[1.16],[1.45444454],[1.16]
84,[-0.04150979],[0.468],[1.338],[0.87],[1.37950979],[0.87]
85,[0.02019707],[0.428],[1.128],[0.7],[1.10780293],[0.7]
86,[0.22358367],[0.374],[0.914],[0.54],[0.69041633],[0.54]
87,[-0.0556082],[0.267],[0.737],[0.47],[0.7926082],[0.47]
88,[0.04046402],[0.139],[0.609],[0.47],[0.56853598],[0.47]
89,[0.12707779],[0.036],[0.486],[0.45],[0.35892221],[0.45]
90,[0.05682753],[-0.021],[0.379],[0.4],[0.32217247],[0.4]
91,[0.07852677],[-0.152],[0.348],[0.5],[0.26947323],[0.5]
92,[0.00428307],[-0.11],[0.34],[0.45],[0.33571693],[0.45]
93,[0.00238882],[-0.112],[0.298],[0.41],[0.29561118],[0.41]
94,[-0.09029223],[-0.087],[0.273],[0.36],[0.36329223],[0.36]
95,[0.13842854],[-0.063],[0.237],[0.3],[0.09857146],[0.3]
96,[0.10613468],[-0.054],[0.216],[0.27],[0.10986532],[0.27]
97,[0.21126364],[-0.031],[0.229],[0.26],[0.01773636],[0.26]
98,[0.1990869],[-0.034],[0.206],[0.24],[0.0069131],[0.24]
99,[0.00258574],[-0.063],[0.177],[0.24],[0.17441426],[0.24]
100,[0.0507321],[-0.038],[0.182],[0.22],[0.1312679],[0.22]
101,[0.22723876],[-0.017],[0.203],[0.22],[-0.02423876],[0.22]
102,[0.18933624],[-0.01],[0.19],[0.2],[0.00066376],[0.2]
103,[0.09398189],[-0.044],[0.146],[0.19],[0.05201811],[0.19]
104,[0.01670999],[-0.058],[0.112],[0.17],[0.09529001],[0.17]
105,[0.00678861],[-0.062],[0.098],[0.16],[0.09121139],[0.16]
106,[0.06834312],[-0.058],[0.092],[0.15],[0.02365688],[0.15]
107,[0.1562605],[-0.041],[0.099],[0.14],[-0.05726051],[0.14]
108,[0.35722563],[0.064],[0.214],[0.15],[-0.14322563],[0.15]
109,[-2.164218],[1.4],[1.74],[0.34],[3.90421795],[0.34]
110,[0.11940265],[4.511],[5.161],[0.65],[5.04159735],[0.65]
111,[-0.7720387],[5.993],[7.653],[1.66],[8.4250387],[1.66]
112,[0.61155874],[3.14],[5.42],[2.28],[4.80844126],[2.28]
113,[0.1487749],[0.898],[2.468],[1.57],[2.31922509],[1.57]
114,[0.06674594],[0.801],[1.891],[1.09],[1.82425406],[1.09]
115,[0.10839073],[0.723],[1.503],[0.78],[1.39460927],[0.78]
116,[0.15597081],[0.573],[1.183],[0.61],[1.02702919],[0.61]
117,[-0.14292917],[-0.941],[1.239],[2.18],[1.38192917],[2.18]
118,[-1.4171886],[-7.877],[3.053],[10.93],[4.47018864],[10.93]
119,[0.10722516],[-1.408],[4.292],[5.7],[4.18477484],[5.7]
120,[0.10070767],[-1.66],[3.99],[5.65],[3.88929233],[5.65]
121,[-0.41349906],[-1.863],[5.097],[6.96],[5.51049906],[6.96]
122,[-0.46646735],[-1.588],[4.502],[6.09],[4.96846735],[6.09]
123,[-1.2248671],[1.407],[6.627],[5.22],[7.85186711],[5.22]
124,[0.24004403],[0.417],[3.257],[2.84],[3.01695597],[2.84]
125,[-0.00422048],[0.056],[1.866],[1.81],[1.87022048],[1.81]
126,[0.03849758],[0.303],[1.493],[1.19],[1.45450242],[1.19]
127,[-0.02890105],[0.327],[1.197],[0.87],[1.22590105],[0.87]
128,[-0.0389363],[0.269],[0.979],[0.71],[1.0179363],[0.71]
129,[-0.0789488],[0.162],[0.812],[0.65],[0.8909488],[0.65]
