,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
1736,[0.03073307],[0.341],[1.211],[0.87],[1.18026693],[0.87]
1737,[-0.16860276],[0.783],[1.883],[1.1],[2.05160276],[1.1]
1738,[0.28997788],[1.38],[2.61],[1.23],[2.32002212],[1.23]
1739,[0.23369846],[1.237],[2.377],[1.14],[2.14330154],[1.14]
1740,[0.10535496],[0.958],[1.978],[1.02],[1.87264504],[1.02]
1741,[0.09036196],[0.713],[1.663],[0.95],[1.57263804],[0.95]
1742,[0.08996668],[0.539],[1.439],[0.9],[1.34903332],[0.9]
1743,[0.06678353],[0.456],[1.376],[0.92],[1.30921647],[0.92]
1744,[0.04395416],[0.36],[1.28],[0.92],[1.23604584],[0.92]
1745,[-0.05684886],[0.238],[1.118],[0.88],[1.17484886],[0.88]
1746,[-0.03302545],[0.152],[0.972],[0.82],[1.00502545],[0.82]
1747,[0.01005248],[0.082],[0.842],[0.76],[0.83194752],[0.76]
1748,[0.05470066],[0.02],[0.77],[0.75],[0.71529934],[0.75]
1749,[0.14779344],[-0.018],[0.792],[0.81],[0.64420656],[0.81]
1750,[0.21129012],[-0.069],[0.861],[0.93],[0.64970988],[0.93]
1751,[0.10379264],[-0.039],[0.831],[0.87],[0.72720736],[0.87]
1752,[0.11252134],[-0.049],[0.761],[0.81],[0.64847866],[0.81]
1753,[0.08674423],[-0.044],[0.706],[0.75],[0.61925577],[0.75]
1754,[0.00073836],[-0.05],[0.64],[0.69],[0.63926164],[0.69]
1755,[0.07029571],[-0.038],[0.612],[0.65],[0.54170429],[0.65]
1756,[0.05430526],[-0.038],[0.582],[0.62],[0.52769474],[0.62]
1757,[0.1473909],[0.007],[0.597],[0.59],[0.4496091],[0.59]
1758,[0.19879337],[0.064],[0.644],[0.58],[0.44520663],[0.58]
1759,[0.15415053],[0.084],[0.684],[0.6],[0.52984947],[0.6]
1760,[-0.0132573],[0.242],[0.922],[0.68],[0.9352573],[0.68]
1761,[0.27052066],[0.355],[1.035],[0.68],[0.76447934],[0.68]
1762,[0.07290243],[0.268],[0.918],[0.65],[0.84509757],[0.65]
