,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.2097216],[0.45],[1.05],[0.6],[0.8402784],[0.6]
1,[0.15824188],[0.453],[0.993],[0.54],[0.83475812],[0.54]
2,[0.15151842],[0.393],[0.943],[0.55],[0.79148158],[0.55]
3,[-0.02574196],[-1.41],[0.96],[2.37],[0.98574196],[2.37]
4,[-0.6307313],[0.482],[7.822],[7.34],[8.45273128],[7.34]
5,[-0.00045443],[0.726],[5.306],[4.58],[5.30645443],[4.58]
6,[-0.44977742],[0.819],[4.059],[3.24],[4.50877742],[3.24]
7,[0.27122763],[1.208],[3.078],[1.87],[2.80677237],[1.87]
8,[0.09846018],[-0.09],[1.33],[1.42],[1.23153982],[1.42]
9,[-0.0741981],[-0.646],[1.244],[1.89],[1.3181981],[1.89]
10,[-0.03020465],[-0.526],[1.184],[1.71],[1.21420465],[1.71]
11,[0.10444963],[-1.54],[1.13],[2.67],[1.02555037],[2.67]
12,[-0.23696959],[-2.011],[1.859],[3.87],[2.09596959],[3.87]
13,[0.2144208],[-1.639],[1.881],[3.52],[1.6665792],[3.52]
14,[0.2505007],[-0.886],[1.174],[2.06],[0.92349929],[2.06]
15,[0.20275678],[-0.38],[1.11],[1.49],[0.90724322],[1.49]
16,[0.20166987],[-0.113],[1.057],[1.17],[0.85533013],[1.17]
17,[0.16181217],[0.02],[1.],[0.98],[0.83818783],[0.98]
18,[0.18013382],[0.095],[0.945],[0.85],[0.76486618],[0.85]
19,[0.17228588],[0.168],[0.898],[0.73],[0.72571412],[0.73]
20,[0.09139477],[0.112],[0.892],[0.78],[0.80060523],[0.78]
21,[0.08996552],[0.137],[0.887],[0.75],[0.79703448],[0.75]
22,[0.15748517],[0.221],[0.861],[0.64],[0.70351483],[0.64]
23,[0.1569843],[0.249],[0.819],[0.57],[0.6620157],[0.57]
24,[0.14092113],[0.268],[0.778],[0.51],[0.63707887],[0.51]
25,[0.09883809],[0.284],[0.744],[0.46],[0.64516191],[0.46]
26,[0.09861138],[0.284],[0.714],[0.43],[0.61538862],[0.43]
27,[0.08888805],[0.289],[0.679],[0.39],[0.59011195],[0.39]
28,[0.08365658],[0.261],[0.641],[0.38],[0.55734342],[0.38]
29,[-0.0331004],[0.268],[0.658],[0.39],[0.6911004],[0.39]
30,[0.15762566],[0.29],[0.65],[0.36],[0.49237434],[0.36]
31,[0.10187103],[0.136],[0.636],[0.5],[0.53412897],[0.5]
32,[-0.08346751],[0.287],[0.817],[0.53],[0.90046751],[0.53]
33,[0.18144724],[0.27],[0.73],[0.46],[0.54855276],[0.46]
34,[0.20440787],[0.205],[0.735],[0.53],[0.53059213],[0.53]
35,[0.17086887],[0.297],[0.927],[0.63],[0.75613113],[0.63]
36,[0.21095145],[0.28],[0.87],[0.59],[0.65904855],[0.59]
37,[0.31243873],[0.365],[1.005],[0.64],[0.69256127],[0.64]
38,[0.25334585],[0.312],[0.902],[0.59],[0.64865415],[0.59]
39,[0.3306191],[-2.251],[0.889],[3.14],[0.5583809],[3.14]
40,[0.46217352],[-0.016],[2.444],[2.46],[1.98182648],[2.46]
41,[0.5136174],[1.071],[2.751],[1.68],[2.2373826],[1.68]
42,[0.2781919],[-0.782],[2.168],[2.95],[1.88980811],[2.95]
43,[0.40452808],[-0.442],[1.498],[1.94],[1.09347192],[1.94]
44,[0.29178688],[-0.484],[1.046],[1.53],[0.75421312],[1.53]
45,[0.22508973],[-0.338],[0.992],[1.33],[0.76691027],[1.33]
46,[-0.0520432],[0.771],[1.851],[1.08],[1.9030432],[1.08]
47,[0.39907157],[0.828],[1.798],[0.97],[1.39892843],[0.97]
48,[0.2545852],[0.315],[1.065],[0.75],[0.81041479],[0.75]
49,[0.22401044],[0.238],[1.038],[0.8],[0.81398956],[0.8]
50,[0.3412946],[0.433],[1.273],[0.84],[0.93170541],[0.84]
51,[0.37366924],[-1.332],[1.788],[3.12],[1.41433076],[3.12]
52,[0.1934933],[2.526],[6.376],[3.85],[6.18250669],[3.85]
53,[0.54468656],[2.663],[4.573],[1.91],[4.02831344],[1.91]
54,[0.40547425],[-0.056],[2.154],[2.21],[1.74852575],[2.21]
55,[0.20918265],[-3.156],[3.324],[6.48],[3.11481735],[6.48]
56,[0.28709108],[-1.269],[4.051],[5.32],[3.76390892],[5.32]
57,[-0.13679358],[-0.045],[7.145],[7.19],[7.28179358],[7.19]
58,[0.09695737],[2.267],[4.767],[2.5],[4.67004263],[2.5]
59,[0.12708637],[0.624],[2.334],[1.71],[2.20691363],[1.71]
60,[0.6850141],[-0.043],[1.437],[1.48],[0.75198587],[1.48]
61,[0.33158642],[0.134],[1.374],[1.24],[1.04241358],[1.24]
62,[0.1023415],[0.306],[1.316],[1.01],[1.2136585],[1.01]
63,[0.0117932],[0.045],[1.255],[1.21],[1.2432068],[1.21]
64,[-0.11543581],[-0.244],[1.196],[1.44],[1.31143581],[1.44]
65,[0.02024665],[0.331],[1.161],[0.83],[1.14075335],[0.83]
66,[0.09522972],[0.257],[1.137],[0.88],[1.04177028],[0.88]
67,[0.02987382],[0.327],[1.097],[0.77],[1.06712618],[0.77]
68,[-0.04594034],[0.337],[1.047],[0.71],[1.09294034],[0.71]
69,[0.12222144],[0.442],[1.072],[0.63],[0.94977856],[0.63]
70,[0.18922773],[0.449],[1.059],[0.61],[0.86977227],[0.61]
71,[0.01282766],[-0.126],[1.794],[1.92],[1.78117234],[1.92]
72,[0.1789698],[0.888],[1.928],[1.04],[1.7490302],[1.04]
73,[0.1581567],[0.296],[1.216],[0.92],[1.05784331],[0.92]
74,[0.05843356],[0.38],[1.13],[0.75],[1.07156644],[0.75]
75,[0.01903626],[0.235],[1.085],[0.85],[1.06596374],[0.85]
76,[0.05331083],[-0.282],[1.048],[1.33],[0.99468917],[1.33]
77,[-0.21501648],[0.213],[7.423],[7.21],[7.63801648],[7.21]
78,[0.16687717],[2.686],[4.946],[2.26],[4.77912283],[2.26]
79,[0.3118422],[0.41],[2.1],[1.69],[1.7881578],[1.69]
80,[0.11813538],[-0.017],[1.183],[1.2],[1.06486462],[1.2]
81,[0.03074367],[-0.03],[1.14],[1.17],[1.10925633],[1.17]
82,[0.08633134],[0.231],[1.151],[0.92],[1.06466866],[0.92]
83,[-0.0844532],[0.174],[1.124],[0.95],[1.2084532],[0.95]
84,[-0.12889951],[-0.517],[1.073],[1.59],[1.20189951],[1.59]
85,[-0.13097575],[-1.296],[1.024],[2.32],[1.15497575],[2.32]
86,[-0.13943523],[-2.263],[0.977],[3.24],[1.11643523],[3.24]
87,[-0.15519008],[-2.998],[0.932],[3.93],[1.08719008],[3.93]
88,[-0.10549861],[-2.871],[0.889],[3.76],[0.99449861],[3.76]
89,[0.13329174],[-0.51],[2.31],[2.82],[2.17670826],[2.82]
90,[0.09722362],[1.394],[2.604],[1.21],[2.50677638],[1.21]
91,[0.01879624],[0.461],[1.231],[0.77],[1.21220376],[0.77]
92,[0.03388569],[0.249],[0.989],[0.74],[0.95511431],[0.74]
93,[-0.1391564],[-0.12],[0.95],[1.07],[1.0891564],[1.07]
94,[-0.09565914],[-0.162],[0.908],[1.07],[1.00365914],[1.07]
95,[-0.13875636],[-0.341],[0.869],[1.21],[1.00775636],[1.21]
96,[-0.15464666],[-1.35],[0.83],[2.18],[0.98464666],[2.18]
97,[-0.15844429],[-1.337],[0.793],[2.13],[0.95144429],[2.13]
98,[-0.08950964],[-1.352],[0.758],[2.11],[0.84750964],[2.11]
99,[-0.16449398],[-2.125],[0.725],[2.85],[0.88949398],[2.85]
100,[-0.13965654],[-1.157],[0.693],[1.85],[0.83265654],[1.85]
101,[-0.09844521],[-0.387],[0.663],[1.05],[0.76144521],[1.05]
102,[-0.15411294],[-0.886],[0.634],[1.52],[0.78811294],[1.52]
103,[-0.15065628],[-0.715],[0.605],[1.32],[0.75565628],[1.32]
104,[-0.11681196],[0.059],[0.579],[0.52],[0.69581196],[0.52]
105,[-0.16739872],[0.233],[0.553],[0.32],[0.72039872],[0.32]
106,[-0.11001745],[0.239],[0.529],[0.29],[0.63901745],[0.29]
107,[-0.10644057],[0.215],[0.505],[0.29],[0.61144057],[0.29]
108,[-0.04375458],[0.204],[0.484],[0.28],[0.52775458],[0.28]
109,[0.12576935],[0.208],[0.478],[0.27],[0.35223065],[0.27]
110,[-0.07307133],[-0.949],[0.481],[1.43],[0.55407133],[1.43]
111,[-0.17838427],[-0.575],[0.495],[1.07],[0.67338427],[1.07]
112,[-0.24464363],[-0.033],[0.497],[0.53],[0.74164363],[0.53]
113,[-0.35263324],[0.014],[0.494],[0.48],[0.84663324],[0.48]
114,[-0.45894444],[0.009],[0.509],[0.5],[0.96794444],[0.5]
115,[0.09353581],[0.074],[0.504],[0.43],[0.41046419],[0.43]
116,[-0.00139159],[0.136],[0.496],[0.36],[0.49739159],[0.36]
117,[-0.08441898],[0.099],[0.489],[0.39],[0.57341898],[0.39]
118,[-0.12209514],[0.138],[0.468],[0.33],[0.59009514],[0.33]
119,[-0.1375328],[0.166],[0.446],[0.28],[0.5835328],[0.28]
120,[-0.13193521],[0.135],[0.425],[0.29],[0.55693521],[0.29]
121,[-0.17020002],[0.036],[0.406],[0.37],[0.57620002],[0.37]
