,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.15832768],[0.209],[0.259],[0.05],[0.10067232],[0.05]
1,[0.05192145],[0.231],[0.271],[0.04],[0.21907855],[0.04]
2,[-0.00258933],[0.193],[0.233],[0.04],[0.23558933],[0.04]
3,[0.01128917],[0.164],[0.204],[0.04],[0.19271083],[0.04]
4,[0.33439088],[0.298],[0.348],[0.05],[0.01360912],[0.05]
5,[0.75110704],[0.489],[0.639],[0.15],[-0.11210704],[0.15]
6,[0.58321846],[0.624],[0.734],[0.11],[0.15078154],[0.11]
7,[0.18427183],[0.544],[0.654],[0.11],[0.46972817],[0.11]
8,[0.02957804],[0.471],[0.581],[0.11],[0.55142196],[0.11]
9,[-0.00508855],[0.405],[0.515],[0.11],[0.52008855],[0.11]
10,[-0.01971017],[0.346],[0.456],[0.11],[0.47571017],[0.11]
11,[-0.01968722],[0.302],[0.402],[0.1],[0.42168722],[0.1]
12,[-0.0215169],[0.253],[0.353],[0.1],[0.3745169],[0.1]
13,[-0.01918249],[0.208],[0.308],[0.1],[0.32718249],[0.1]
14,[-0.02016598],[0.168],[0.268],[0.1],[0.28816598],[0.1]
15,[-0.02783687],[0.132],[0.232],[0.1],[0.25983687],[0.1]
16,[-0.02908556],[0.103],[0.203],[0.1],[0.23208556],[0.1]
17,[-0.04599659],[0.076],[0.176],[0.1],[0.22199659],[0.1]
18,[-0.05172344],[0.048],[0.148],[0.1],[0.19972344],[0.1]
19,[-0.07701217],[0.033],[0.123],[0.09],[0.20001217],[0.09]
20,[-0.04182288],[0.061],[0.151],[0.09],[0.19282288],[0.09]
21,[-0.02728854],[0.099],[0.189],[0.09],[0.21628854],[0.09]
22,[-0.06630839],[0.084],[0.174],[0.09],[0.24030839],[0.09]
23,[-0.04763581],[0.096],[0.186],[0.09],[0.23363581],[0.09]
24,[-0.05716537],[0.109],[0.199],[0.09],[0.25616537],[0.09]
25,[-0.08005068],[0.088],[0.178],[0.09],[0.25805068],[0.09]
26,[-0.08236758],[0.066],[0.156],[0.09],[0.23836758],[0.09]
27,[-0.06222352],[0.085],[0.175],[0.09],[0.23722352],[0.09]
28,[0.02045646],[0.113],[0.253],[0.14],[0.23254354],[0.14]
29,[0.07696975],[0.405],[0.655],[0.25],[0.57803025],[0.25]
30,[0.59271437],[0.846],[1.146],[0.3],[0.55328563],[0.3]
31,[0.7329817],[0.838],[1.268],[0.43],[0.53501832],[0.43]
32,[0.42989153],[0.592],[1.222],[0.63],[0.79210847],[0.63]
33,[0.26819476],[0.374],[1.194],[0.82],[0.92580524],[0.82]
34,[0.0449224],[0.211],[1.131],[0.92],[1.0860776],[0.92]
35,[0.06119128],[0.105],[1.045],[0.94],[0.98380872],[0.94]
36,[0.11445031],[-0.162],[0.998],[1.16],[0.88354969],[1.16]
37,[-0.08159475],[-0.356],[1.764],[2.12],[1.84559475],[2.12]
38,[0.4373458],[-0.007],[2.733],[2.74],[2.2956542],[2.74]
39,[0.2635666],[-0.61],[2.15],[2.76],[1.88643339],[2.76]
40,[0.07337355],[-0.772],[1.688],[2.46],[1.61462645],[2.46]
41,[-0.00540377],[-0.682],[1.428],[2.11],[1.43340377],[2.11]
42,[-0.0264557],[-0.5],[1.35],[1.85],[1.3764557],[1.85]
43,[0.04175309],[-0.24],[1.81],[2.05],[1.76824691],[2.05]
44,[0.2773928],[0.109],[2.769],[2.66],[2.4916072],[2.66]
45,[0.56538707],[-0.483],[3.277],[3.76],[2.71161293],[3.76]
46,[0.7481397],[-1.432],[3.618],[5.05],[2.86986032],[5.05]
47,[0.5492734],[-1.541],[3.259],[4.8],[2.70972663],[4.8]
48,[0.40013576],[-1.288],[2.562],[3.85],[2.16186424],[3.85]
49,[0.14540473],[-0.909],[2.101],[3.01],[1.95559527],[3.01]
50,[0.11373948],[-0.815],[1.695],[2.51],[1.58126052],[2.51]
51,[0.22424138],[-0.624],[1.596],[2.22],[1.37175862],[2.22]
52,[0.33295417],[0.049],[2.079],[2.03],[1.74604583],[2.03]
53,[0.23984501],[0.051],[2.121],[2.07],[1.88115499],[2.07]
54,[0.326016],[-0.335],[1.975],[2.31],[1.64898399],[2.31]
55,[0.23302242],[-0.293],[2.067],[2.36],[1.83397758],[2.36]
56,[0.3582987],[-0.312],[2.088],[2.4],[1.72970131],[2.4]
57,[0.42748457],[-0.319],[2.181],[2.5],[1.75351543],[2.5]
58,[0.6119943],[-0.157],[2.383],[2.54],[1.77100567],[2.54]
59,[0.6302218],[-0.203],[2.697],[2.9],[2.06677822],[2.9]
