,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.16236864],[0.209],[0.259],[0.05],[0.09663136],[0.05]
1,[0.14660053],[0.231],[0.271],[0.04],[0.12439947],[0.04]
2,[0.0782373],[0.193],[0.233],[0.04],[0.1547627],[0.04]
3,[0.05807668],[0.164],[0.204],[0.04],[0.14592332],[0.04]
4,[0.24722868],[0.298],[0.348],[0.05],[0.10077132],[0.05]
5,[0.5326612],[0.489],[0.639],[0.15],[0.1063388],[0.15]
6,[0.409961],[0.624],[0.734],[0.11],[0.32403901],[0.11]
7,[0.19881086],[0.544],[0.654],[0.11],[0.45518914],[0.11]
8,[0.10454874],[0.471],[0.581],[0.11],[0.47645126],[0.11]
9,[0.06730343],[0.405],[0.515],[0.11],[0.44769657],[0.11]
10,[0.03558282],[0.346],[0.456],[0.11],[0.42041718],[0.11]
11,[0.02534676],[0.302],[0.402],[0.1],[0.37665324],[0.1]
12,[0.02701874],[0.253],[0.353],[0.1],[0.32598126],[0.1]
13,[0.02452161],[0.208],[0.308],[0.1],[0.28347839],[0.1]
14,[0.03427582],[0.168],[0.268],[0.1],[0.23372418],[0.1]
15,[0.04579562],[0.132],[0.232],[0.1],[0.18620438],[0.1]
16,[0.05201555],[0.103],[0.203],[0.1],[0.15098445],[0.1]
17,[0.05368289],[0.076],[0.176],[0.1],[0.12231711],[0.1]
18,[0.05002579],[0.048],[0.148],[0.1],[0.09797421],[0.1]
19,[0.04835542],[0.033],[0.123],[0.09],[0.07464458],[0.09]
20,[0.06131673],[0.061],[0.151],[0.09],[0.08968327],[0.09]
21,[0.1271604],[0.099],[0.189],[0.09],[0.0618396],[0.09]
22,[0.09477624],[0.084],[0.174],[0.09],[0.07922376],[0.09]
23,[0.08285904],[0.096],[0.186],[0.09],[0.10314096],[0.09]
24,[0.11744568],[0.109],[0.199],[0.09],[0.08155432],[0.09]
25,[0.08673511],[0.088],[0.178],[0.09],[0.09126489],[0.09]
26,[0.07612883],[0.066],[0.156],[0.09],[0.07987117],[0.09]
27,[0.08055635],[0.085],[0.175],[0.09],[0.09444365],[0.09]
28,[0.14860082],[0.113],[0.253],[0.14],[0.10439918],[0.14]
29,[0.5186571],[0.405],[0.655],[0.25],[0.13634291],[0.25]
30,[0.7828632],[0.846],[1.146],[0.3],[0.3631368],[0.3]
31,[0.73612887],[0.838],[1.268],[0.43],[0.53187113],[0.43]
32,[0.47654402],[0.592],[1.222],[0.63],[0.74545598],[0.63]
33,[0.25266096],[0.374],[1.194],[0.82],[0.94133904],[0.82]
34,[0.09810756],[0.211],[1.131],[0.92],[1.03289244],[0.92]
