,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.21565905],[0.45],[1.05],[0.6],[0.83434095],[0.6]
1,[0.28767225],[0.453],[0.993],[0.54],[0.70532775],[0.54]
2,[0.33138785],[0.393],[0.943],[0.55],[0.61161215],[0.55]
3,[0.4224755],[-1.41],[0.96],[2.37],[0.53752451],[2.37]
4,[-1.3351128],[0.482],[7.822],[7.34],[9.15711281],[7.34]
5,[0.41207427],[0.726],[5.306],[4.58],[4.89392573],[4.58]
6,[-0.30736077],[0.819],[4.059],[3.24],[4.36636077],[3.24]
7,[0.23596881],[1.208],[3.078],[1.87],[2.84203119],[1.87]
8,[0.19938247],[-0.09],[1.33],[1.42],[1.13061753],[1.42]
9,[0.4184389],[-0.646],[1.244],[1.89],[0.82556109],[1.89]
10,[0.38236588],[-0.526],[1.184],[1.71],[0.80163412],[1.71]
11,[0.2361848],[-1.54],[1.13],[2.67],[0.89381519],[2.67]
12,[-1.2633793],[-2.011],[1.859],[3.87],[3.12237934],[3.87]
13,[0.15237623],[-1.639],[1.881],[3.52],[1.72862377],[3.52]
14,[0.05256104],[-0.886],[1.174],[2.06],[1.12143896],[2.06]
15,[-0.00327632],[-0.38],[1.11],[1.49],[1.11327632],[1.49]
16,[0.08760688],[-0.113],[1.057],[1.17],[0.96939312],[1.17]
17,[0.10675807],[0.02],[1.],[0.98],[0.89324193],[0.98]
18,[0.14477418],[0.095],[0.945],[0.85],[0.80022582],[0.85]
19,[0.15676162],[0.168],[0.898],[0.73],[0.74123838],[0.73]
20,[0.05558605],[0.112],[0.892],[0.78],[0.83641395],[0.78]
21,[0.18582973],[0.137],[0.887],[0.75],[0.70117027],[0.75]
22,[0.22214717],[0.221],[0.861],[0.64],[0.63885283],[0.64]
23,[0.2627683],[0.249],[0.819],[0.57],[0.5562317],[0.57]
24,[0.30464894],[0.268],[0.778],[0.51],[0.47335106],[0.51]
25,[0.3594265],[0.284],[0.744],[0.46],[0.3845735],[0.46]
26,[0.36067417],[0.284],[0.714],[0.43],[0.35332583],[0.43]
27,[0.39696077],[0.289],[0.679],[0.39],[0.28203923],[0.39]
28,[0.40187007],[0.261],[0.641],[0.38],[0.23912993],[0.38]
29,[0.22076371],[0.268],[0.658],[0.39],[0.43723629],[0.39]
30,[0.26548216],[0.29],[0.65],[0.36],[0.38451784],[0.36]
31,[0.28887045],[0.136],[0.636],[0.5],[0.34712955],[0.5]
32,[-0.8901233],[0.287],[0.817],[0.53],[1.70712331],[0.53]
33,[-0.08912426],[0.27],[0.73],[0.46],[0.81912426],[0.46]
34,[0.21289407],[0.205],[0.735],[0.53],[0.52210593],[0.53]
35,[-0.91894144],[0.297],[0.927],[0.63],[1.84594144],[0.63]
36,[-1.0859141],[0.28],[0.87],[0.59],[1.95591413],[0.59]
37,[-0.5699135],[0.365],[1.005],[0.64],[1.57491351],[0.64]
38,[0.01219803],[0.312],[0.902],[0.59],[0.88980197],[0.59]
39,[0.36849093],[-2.251],[0.889],[3.14],[0.52050907],[3.14]
40,[0.34980932],[-0.016],[2.444],[2.46],[2.09419068],[2.46]
41,[0.6331256],[1.071],[2.751],[1.68],[2.1178744],[1.68]
42,[0.20618117],[-0.782],[2.168],[2.95],[1.96181883],[2.95]
43,[0.470138],[-0.442],[1.498],[1.94],[1.02786199],[1.94]
44,[0.38065258],[-0.484],[1.046],[1.53],[0.66534742],[1.53]
45,[0.4471751],[-0.338],[0.992],[1.33],[0.54482491],[1.33]
46,[-1.8347425],[0.771],[1.851],[1.08],[3.68574255],[1.08]
47,[-0.18798235],[0.828],[1.798],[0.97],[1.98598235],[0.97]
48,[-0.01564139],[0.315],[1.065],[0.75],[1.08064139],[0.75]
49,[0.3006334],[0.238],[1.038],[0.8],[0.7373666],[0.8]
50,[-0.84956974],[0.433],[1.273],[0.84],[2.12256974],[0.84]
51,[-0.6299574],[-1.332],[1.788],[3.12],[2.41795738],[3.12]
52,[0.4299767],[2.526],[6.376],[3.85],[5.9460233],[3.85]
53,[1.4151287],[2.663],[4.573],[1.91],[3.15787129],[1.91]
54,[1.1301556],[-0.056],[2.154],[2.21],[1.02384444],[2.21]
55,[0.64465415],[-3.156],[3.324],[6.48],[2.67934585],[6.48]
56,[0.5785775],[-1.269],[4.051],[5.32],[3.47242248],[5.32]
57,[1.9374022],[-0.045],[7.145],[7.19],[5.20759775],[7.19]
58,[2.1489208],[2.267],[4.767],[2.5],[2.61807923],[2.5]
59,[1.7534802],[0.624],[2.334],[1.71],[0.5805198],[1.71]
60,[0.38080713],[-0.043],[1.437],[1.48],[1.05619287],[1.48]
61,[-0.03355268],[0.134],[1.374],[1.24],[1.40755268],[1.24]
62,[-0.18302947],[0.306],[1.316],[1.01],[1.49902947],[1.01]
63,[-0.05363375],[0.045],[1.255],[1.21],[1.30863375],[1.21]
64,[-0.08662531],[-0.244],[1.196],[1.44],[1.28262531],[1.44]
65,[-0.46951818],[0.331],[1.161],[0.83],[1.63051818],[0.83]
66,[-0.18009704],[0.257],[1.137],[0.88],[1.31709704],[0.88]
67,[-0.02962175],[0.327],[1.097],[0.77],[1.12662175],[0.77]
68,[0.03618474],[0.337],[1.047],[0.71],[1.01081526],[0.71]
