,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.30681607],[1.233],[7.783],[6.55],[7.47618393],[6.55]
1,[1.3860602],[-0.117],[8.153],[8.27],[6.76693976],[8.27]
2,[2.7711756],[1.809],[11.039],[9.23],[8.26782438],[9.23]
3,[3.1878624],[4.123],[13.883],[9.76],[10.6951376],[9.76]
4,[2.41293],[2.343],[16.993],[14.65],[14.58006999],[14.65]
5,[2.1581755],[2.969],[11.899],[8.93],[9.74082453],[8.93]
6,[-0.03803214],[1.888],[8.548],[6.66],[8.58603214],[6.66]
7,[-0.18160927],[1.101],[6.731],[5.63],[6.91260927],[5.63]
8,[1.0487667],[2.142],[7.132],[4.99],[6.08323327],[4.99]
9,[2.4528985],[3.358],[8.128],[4.77],[5.6751015],[4.77]
10,[3.0064313],[3.514],[8.544],[5.03],[5.53756866],[5.03]
11,[3.075803],[4.75],[9.45],[4.7],[6.37419696],[4.7]
12,[2.7876248],[3.302],[8.512],[5.21],[5.72437516],[5.21]
13,[2.8864443],[3.194],[8.414],[5.22],[5.52755567],[5.22]
14,[2.3399246],[4.027],[8.057],[4.03],[5.71707543],[4.03]
15,[2.280687],[3.744],[7.474],[3.73],[5.19331291],[3.73]
16,[2.2910004],[3.21],[6.64],[3.43],[4.34899963],[3.43]
17,[2.2286365],[2.558],[5.428],[2.87],[3.1993635],[2.87]
18,[1.9914043],[1.648],[4.328],[2.68],[2.33659571],[2.68]
19,[2.0147057],[2.394],[5.044],[2.65],[3.02929434],[2.65]
20,[2.453798],[3.144],[7.154],[4.01],[4.70020194],[4.01]
21,[2.4847286],[3.914],[7.324],[3.41],[4.83927143],[3.41]
22,[2.0794797],[2.921],[5.851],[2.93],[3.77152031],[2.93]
23,[2.7375944],[4.106],[7.846],[3.74],[5.10840563],[3.74]
24,[3.0661852],[5.038],[8.308],[3.27],[5.24181476],[3.27]
25,[2.7712076],[3.343],[6.473],[3.13],[3.70179243],[3.13]
26,[2.619809],[2.942],[6.072],[3.13],[3.45219109],[3.13]
27,[2.9802263],[5.211],[8.191],[2.98],[5.21077372],[2.98]
28,[3.2902281],[3.36],[9.44],[6.08],[6.14977187],[6.08]
29,[2.4462495],[9.502],[14.932],[5.43],[12.48575051],[5.43]
30,[3.5268848],[4.728],[8.568],[3.84],[5.04111521],[3.84]
31,[2.5895605],[1.184],[4.244],[3.06],[1.65443949],[3.06]
32,[1.6516397],[0.584],[3.214],[2.63],[1.5623603],[2.63]
33,[1.0584178],[0.212],[2.482],[2.27],[1.4235822],[2.27]
34,[0.7234571],[0.19],[2.2],[2.01],[1.4765429],[2.01]
35,[1.2351391],[1.01],[2.83],[1.82],[1.59486087],[1.82]
36,[1.0875249],[0.812],[2.622],[1.81],[1.53447511],[1.81]
37,[0.5592932],[-0.442],[2.028],[2.47],[1.46870679],[2.47]
38,[0.13983285],[0.257],[1.967],[1.71],[1.82716715],[1.71]
39,[-0.03422591],[-0.551],[2.319],[2.87],[2.35322591],[2.87]
40,[-0.676007],[1.371],[5.571],[4.2],[6.24700697],[4.2]
41,[0.84003866],[-0.72],[6.69],[7.41],[5.84996134],[7.41]
42,[-0.62336147],[-0.921],[12.339],[13.26],[12.96236147],[13.26]
43,[2.6545312],[-0.099],[10.841],[10.94],[8.18646876],[10.94]
44,[0.95670944],[-2.74],[6.87],[9.61],[5.91329056],[9.61]
45,[-0.7948428],[-1.299],[7.821],[9.12],[8.61584278],[9.12]
46,[2.2634733],[2.773],[6.623],[3.85],[4.35952673],[3.85]
47,[0.80245113],[0.338],[3.608],[3.27],[2.80554887],[3.27]
48,[0.46473905],[-0.25],[2.09],[2.34],[1.62526095],[2.34]
49,[0.33973277],[-0.787],[1.813],[2.6],[1.47326723],[2.6]
50,[-0.63011825],[-1.348],[2.462],[3.81],[3.09211825],[3.81]
51,[0.869517],[-7.889],[3.471],[11.36],[2.60148297],[11.36]
52,[-1.0809975],[-1.621],[7.319],[8.94],[8.39999747],[8.94]
53,[1.9098096],[1.884],[7.674],[5.79],[5.76419041],[5.79]
54,[0.9410534],[-0.48],[4.5],[4.98],[3.55894661],[4.98]
55,[-0.92309874],[-5.168],[5.832],[11.],[6.75509874],[11.]
56,[1.6714208],[-2.571],[6.919],[9.49],[5.24757919],[9.49]
57,[0.2765532],[-1.053],[7.087],[8.14],[6.81044679],[8.14]
58,[1.772027],[1.018],[5.168],[4.15],[3.39597298],[4.15]
59,[1.3511105],[0.038],[2.478],[2.44],[1.12688954],[2.44]
60,[0.7848985],[0.07],[1.67],[1.6],[0.88510148],[1.6]
61,[0.3483008],[0.022],[1.292],[1.27],[0.94369919],[1.27]
62,[0.14573373],[0.095],[1.185],[1.09],[1.03926627],[1.09]
63,[0.07485822],[0.188],[1.118],[0.93],[1.04314178],[0.93]
64,[0.18200275],[0.11],[1.05],[0.94],[0.86799725],[0.94]
65,[-0.54876435],[-0.035],[1.325],[1.36],[1.87376435],[1.36]
66,[0.39922503],[0.509],[1.859],[1.35],[1.45977497],[1.35]
67,[0.39468423],[0.744],[1.894],[1.15],[1.49931577],[1.15]
68,[0.42604178],[0.758],[1.758],[1.],[1.33195822],[1.]
69,[0.48097688],[1.284],[2.314],[1.03],[1.83302312],[1.03]
70,[0.50867367],[1.274],[2.234],[0.96],[1.72532633],[0.96]
71,[0.44885057],[1.016],[2.416],[1.4],[1.96714943],[1.4]
72,[0.23562658],[1.375],[3.105],[1.73],[2.86937342],[1.73]
73,[0.33276346],[1.33],[2.73],[1.4],[2.39723654],[1.4]
74,[0.36584544],[0.781],[1.761],[0.98],[1.39515456],[0.98]
75,[0.27754307],[0.525],[1.305],[0.78],[1.02745693],[0.78]
76,[0.04690731],[0.272],[1.372],[1.1],[1.32509269],[1.1]
77,[-1.165133],[-3.47],[2.39],[5.86],[3.555133],[5.86]
78,[0.6860753],[0.945],[4.755],[3.81],[4.06892467],[3.81]
79,[0.9569854],[1.473],[3.153],[1.68],[2.19601459],[1.68]
80,[0.350151],[-0.042],[1.888],[1.93],[1.537849],[1.93]
81,[0.55797523],[-0.277],[1.663],[1.94],[1.10502477],[1.94]
82,[0.18888438],[-0.671],[1.549],[2.22],[1.36011562],[2.22]
83,[0.5326253],[0.168],[1.428],[1.26],[0.89537468],[1.26]
84,[0.40471977],[0.22],[1.16],[0.94],[0.75528023],[0.94]
85,[0.23657021],[0.298],[1.078],[0.78],[0.84142979],[0.78]
86,[-0.06927782],[0.277],[0.997],[0.72],[1.06627782],[0.72]
87,[-0.08357164],[0.312],[0.922],[0.61],[1.00557164],[0.61]
88,[0.16318052],[0.085],[1.005],[0.92],[0.84181948],[0.92]
89,[-1.4209089],[-6.009],[5.321],[11.33],[6.74190893],[11.33]
