,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[-0.07225535],[0.002],[0.252],[0.25],[0.32425535],[0.25]
1,[-0.07993023],[-0.008],[0.222],[0.23],[0.30193023],[0.23]
2,[-0.10467958],[0.021],[0.231],[0.21],[0.33567958],[0.21]
3,[-0.08862762],[0.028],[0.238],[0.21],[0.32662762],[0.21]
4,[-0.07613237],[0.024],[0.214],[0.19],[0.29013237],[0.19]
5,[-0.1040142],[0.015],[0.215],[0.2],[0.3190142],[0.2]
6,[-0.14597975],[0.024],[0.254],[0.23],[0.39997975],[0.23]
7,[-0.17463973],[0.038],[0.308],[0.27],[0.48263973],[0.27]
8,[-0.14290607],[0.003],[0.333],[0.33],[0.47590607],[0.33]
9,[-0.12847573],[-0.046],[0.324],[0.37],[0.45247573],[0.37]
10,[-0.11262031],[-0.095],[0.295],[0.39],[0.40762031],[0.39]
11,[-0.10800134],[-0.119],[0.261],[0.38],[0.36900134],[0.38]
12,[-0.10679255],[-0.12],[0.23],[0.35],[0.33679255],[0.35]
13,[-0.10296519],[-0.117],[0.203],[0.32],[0.30596519],[0.32]
14,[-0.10396405],[-0.102],[0.178],[0.28],[0.28196405],[0.28]
15,[-0.10073967],[-0.103],[0.157],[0.26],[0.25773967],[0.26]
16,[-0.09985635],[-0.092],[0.138],[0.23],[0.23785635],[0.23]
17,[-0.09688139],[-0.089],[0.121],[0.21],[0.21788139],[0.21]
18,[-0.09289314],[-0.084],[0.106],[0.19],[0.19889314],[0.19]
19,[-0.09127688],[-0.087],[0.093],[0.18],[0.18427688],[0.18]
20,[-0.11837177],[-0.061],[0.099],[0.16],[0.21737177],[0.16]
21,[-0.24586779],[0.072],[0.262],[0.19],[0.50786779],[0.19]
22,[-0.11024216],[0.088],[0.268],[0.18],[0.37824216],[0.18]
23,[-0.21184161],[0.281],[0.531],[0.25],[0.74284161],[0.25]
24,[0.21725133],[0.603],[1.093],[0.49],[0.87574867],[0.49]
25,[0.46288076],[-0.039],[1.431],[1.47],[0.96811924],[1.47]
26,[0.0560633],[-0.246],[1.314],[1.56],[1.2579367],[1.56]
27,[-0.4795485],[-0.658],[1.262],[1.92],[1.74154851],[1.92]
28,[-0.57957935],[-2.546],[1.584],[4.13],[2.16357935],[4.13]
29,[-0.07209782],[-2.684],[5.566],[8.25],[5.63809782],[8.25]
30,[-0.30710763],[0.156],[6.736],[6.58],[7.04310763],[6.58]
31,[-0.4318426],[-0.384],[3.216],[3.6],[3.6478426],[3.6]
32,[-0.23721561],[-0.323],[1.697],[2.02],[1.93421561],[2.02]
33,[-0.10901691],[-0.16],[1.16],[1.32],[1.26901691],[1.32]
34,[0.00757194],[-0.158],[0.782],[0.94],[0.77442806],[0.94]
35,[0.06456386],[-0.034],[0.676],[0.71],[0.61143614],[0.71]
36,[0.08899999],[0.033],[0.603],[0.57],[0.51400001],[0.57]
37,[0.11093497],[0.03],[0.55],[0.52],[0.43906503],[0.52]
38,[0.12007832],[-0.208],[0.542],[0.75],[0.42192168],[0.75]
39,[0.13553062],[-0.355],[0.535],[0.89],[0.39946938],[0.89]
40,[0.11138485],[-0.335],[0.495],[0.83],[0.38361515],[0.83]
41,[-0.04898801],[-0.355],[0.495],[0.85],[0.54398801],[0.85]
42,[-0.12393959],[-0.796],[0.794],[1.59],[0.91793959],[1.59]
43,[-0.07758942],[-0.927],[1.223],[2.15],[1.30058942],[2.15]
44,[-0.1835235],[-1.042],[1.588],[2.63],[1.77152351],[2.63]
45,[-0.00274501],[-0.674],[1.476],[2.15],[1.47874501],[2.15]
46,[-0.0224523],[-0.543],[1.067],[1.61],[1.0894523],[1.61]
47,[0.03790632],[-0.454],[0.766],[1.22],[0.72809368],[1.22]
48,[0.02312879],[-0.292],[0.648],[0.94],[0.62487121],[0.94]
49,[0.02930091],[-0.192],[0.578],[0.77],[0.54869909],[0.77]
50,[0.05731324],[-0.125],[0.525],[0.65],[0.46768676],[0.65]
51,[0.05520215],[-0.057],[0.513],[0.57],[0.45779785],[0.57]
52,[-0.0234638],[-0.444],[0.566],[1.01],[0.5894638],[1.01]
53,[-0.2274785],[-1.449],[0.891],[2.34],[1.1184785],[2.34]
54,[-0.35254148],[-2.406],[1.404],[3.81],[1.75654148],[3.81]
55,[-0.27942988],[-2.13],[1.42],[3.55],[1.69942988],[3.55]
