,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
232,[0.05757597],[0.908],[4.698],[3.79],[4.64042403],[3.79]
233,[0.09278692],[0.315],[4.395],[4.08],[4.30221308],[4.08]
234,[0.08778921],[0.472],[4.332],[3.86],[4.24421079],[3.86]
235,[0.10707606],[0.245],[4.515],[4.27],[4.40792394],[4.27]
236,[0.07365071],[-0.495],[4.015],[4.51],[3.94134929],[4.51]
237,[0.08213474],[0.179],[4.959],[4.78],[4.87686526],[4.78]
238,[0.06577267],[-0.284],[4.736],[5.02],[4.67022733],[5.02]
239,[0.01308735],[1.073],[6.123],[5.05],[6.10991265],[5.05]
240,[-0.47685075],[1.618],[8.028],[6.41],[8.50485075],[6.41]
241,[-0.56835634],[2.197],[9.777],[7.58],[10.34535634],[7.58]
242,[-0.23837869],[-1.891],[8.239],[10.13],[8.47737869],[10.13]
243,[-0.30443075],[-4.777],[8.823],[13.6],[9.12743075],[13.6]
244,[-0.4279751],[0.463],[10.143],[9.68],[10.57097509],[9.68]
245,[-0.32789847],[2.799],[9.529],[6.73],[9.85689847],[6.73]
246,[-0.15335831],[1.346],[5.766],[4.42],[5.91935831],[4.42]
247,[-0.01649532],[1.187],[4.007],[2.82],[4.02349532],[2.82]
248,[-0.52108175],[0.57],[4.43],[3.86],[4.95108175],[3.86]
249,[-0.22048506],[0.589],[3.329],[2.74],[3.54948506],[2.74]
250,[-0.9292779],[-1.179],[2.041],[3.22],[2.9702779],[3.22]
251,[-0.52701634],[-1.221],[2.799],[4.02],[3.32601634],[4.02]
252,[-0.88440603],[-0.415],[3.525],[3.94],[4.40940603],[3.94]
253,[-0.88451916],[-0.101],[3.139],[3.24],[4.02351916],[3.24]
254,[-0.34903383],[-0.412],[2.118],[2.53],[2.46703383],[2.53]
255,[-0.01673826],[-0.846],[1.714],[2.56],[1.73073826],[2.56]
256,[0.3244903],[-0.142],[3.128],[3.27],[2.80350969],[3.27]
257,[0.4082107],[1.586],[4.526],[2.94],[4.11778931],[2.94]
258,[0.3758226],[1.144],[3.914],[2.77],[3.5381774],[2.77]
259,[0.43168485],[0.314],[3.784],[3.47],[3.35231515],[3.47]
260,[0.47250155],[0.605],[3.745],[3.14],[3.27249845],[3.14]
261,[0.11787586],[-1.159],[4.211],[5.37],[4.09312414],[5.37]
262,[-0.19725834],[-3.176],[5.424],[8.6],[5.62125834],[8.6]
263,[-0.25289196],[-1.381],[5.659],[7.04],[5.91189196],[7.04]
264,[-0.24216668],[-0.073],[5.917],[5.99],[6.15916668],[5.99]
265,[-0.218135],[0.139],[5.919],[5.78],[6.137135],[5.78]
266,[-0.04258773],[-1.22],[3.97],[5.19],[4.01258773],[5.19]
267,[0.05631354],[-1.707],[3.313],[5.02],[3.25668646],[5.02]
268,[0.25662252],[-2.274],[2.796],[5.07],[2.53937748],[5.07]
