date        time     P_O_Myra_131moh   T_Myra_131moh   T_Myra_131moh          Q_Myra 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
07.12.2005  00:00:00           0.000           0.560           0.560           0.150 
08.12.2005  00:00:00           0.000           0.590           0.590           0.130 
09.12.2005  00:00:00           0.000          -1.420          -1.420           0.120 
10.12.2005  00:00:00           0.000          -0.050          -0.050           4.310 
11.12.2005  00:00:00          34.760           5.830           5.830           8.520 
12.12.2005  00:00:00          20.630           5.130           5.130           1.790 
13.12.2005  00:00:00          12.470           4.050           4.050           2.860 
14.12.2005  00:00:00          27.380           4.310           4.310           4.730 
15.12.2005  00:00:00          24.770           3.350           3.350           3.930 
16.12.2005  00:00:00          21.000          -0.190          -0.190           0.960 
17.12.2005  00:00:00          23.410          -1.160          -1.160           0.580 
18.12.2005  00:00:00          13.480           1.110           1.110           0.510 
19.12.2005  00:00:00           0.000          -1.890          -1.890           0.420 
20.12.2005  00:00:00           7.430          -0.220          -0.220           0.970 
21.12.2005  00:00:00           1.670           0.090           0.090           2.220 
22.12.2005  00:00:00           1.690           1.440           1.440           1.830 
23.12.2005  00:00:00           8.610           1.610           1.610           3.130 
24.12.2005  00:00:00          15.530           2.180           2.180           2.400 
25.12.2005  00:00:00           8.930           2.360           2.360           0.770 
26.12.2005  00:00:00           6.500           0.210           0.210           0.550 
27.12.2005  00:00:00           0.000          -3.850          -3.850           0.360 
28.12.2005  00:00:00           0.000          -4.930          -4.930           0.220 
29.12.2005  00:00:00           0.000          -6.470          -6.470           0.160 
30.12.2005  00:00:00           0.000          -6.530          -6.530           0.160 
31.12.2005  00:00:00           1.940          -3.780          -3.780           0.150 
01.01.2006  00:00:00           0.000          -3.040          -3.040           0.120 
02.01.2006  00:00:00           1.580          -2.410          -2.410           0.150 
03.01.2006  00:00:00           0.080           1.280           1.280           0.180 
04.01.2006  00:00:00           0.000           1.160           1.160           0.200 
05.01.2006  00:00:00           0.000           0.550           0.550           0.130 
06.01.2006  00:00:00           0.000          -3.030          -3.030           0.090 
07.01.2006  00:00:00           0.000          -5.920          -5.920           0.090 
08.01.2006  00:00:00           0.000          -5.410          -5.410           0.100 
09.01.2006  00:00:00           0.000          -5.480          -5.480           0.090 
10.01.2006  00:00:00           0.000          -0.670          -0.670           0.110 
11.01.2006  00:00:00           1.320           4.390           4.390           0.190 
12.01.2006  00:00:00          12.010           4.090           4.090           0.640 
13.01.2006  00:00:00           0.000           5.120           5.120           0.550 
14.01.2006  00:00:00           0.000           5.160           5.160           0.450 
15.01.2006  00:00:00           0.000           4.790           4.790           0.360 
16.01.2006  00:00:00           0.000           4.240           4.240           0.270 
17.01.2006  00:00:00           0.000           2.910           2.910           0.190 
18.01.2006  00:00:00           0.000           1.590           1.590           0.140 
19.01.2006  00:00:00           4.140          -0.090          -0.090           0.160 
20.01.2006  00:00:00          17.420          -0.980          -0.980           0.320 
21.01.2006  00:00:00           7.320          -2.310          -2.310           0.240 
22.01.2006  00:00:00           1.120          -0.490          -0.490           0.500 
23.01.2006  00:00:00           0.850           3.320           3.320           1.530 
24.01.2006  00:00:00           0.270           4.870           4.870           1.800 
25.01.2006  00:00:00          16.300           2.620           2.620           1.010 
26.01.2006  00:00:00           1.600           0.810           0.810           0.540 
27.01.2006  00:00:00          10.580           1.540           1.540           1.020 
28.01.2006  00:00:00           2.460           3.470           3.470           1.200 
29.01.2006  00:00:00           7.180           5.810           5.810           1.820 
30.01.2006  00:00:00          11.980           5.630           5.630           2.220 
31.01.2006  00:00:00          15.230           6.580           6.580           2.480 
