date        time     P_O_Jogla_877mo  T_Jogla_877moh  T_Jogla_877moh         Q_Jogla 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
07.04.2000  00:00:00           0.320           0.080           0.080           0.360 
08.04.2000  00:00:00           0.540          -0.170          -0.170           0.520 
09.04.2000  00:00:00           0.000          -3.990          -3.990           0.480 
10.04.2000  00:00:00           0.000          -1.390          -1.390           0.450 
11.04.2000  00:00:00           0.000          -1.300          -1.300           0.470 
12.04.2000  00:00:00           0.000          -1.050          -1.050           0.410 
13.04.2000  00:00:00           1.030          -1.740          -1.740           0.360 
14.04.2000  00:00:00           3.290          -0.230          -0.230           0.350 
15.04.2000  00:00:00           4.230          -2.110          -2.110           0.340 
16.04.2000  00:00:00           0.000          -3.620          -3.620           0.310 
17.04.2000  00:00:00           0.140          -3.370          -3.370           0.290 
18.04.2000  00:00:00          10.680          -0.820          -0.820           0.380 
19.04.2000  00:00:00          10.690          -0.350          -0.350           0.730 
20.04.2000  00:00:00           5.220           0.670           0.670           1.720 
21.04.2000  00:00:00          12.070           2.240           2.240           3.880 
22.04.2000  00:00:00          16.130           1.460           1.460           4.050 
23.04.2000  00:00:00           6.080           2.660           2.660           5.790 
24.04.2000  00:00:00           0.000           1.660           1.660           5.550 
25.04.2000  00:00:00           0.000           0.980           0.980           4.740 
26.04.2000  00:00:00           2.370           1.370           1.370           5.620 
27.04.2000  00:00:00           6.360           3.030           3.030           6.920 
28.04.2000  00:00:00           0.000           2.400           2.400          11.030 
29.04.2000  00:00:00           0.000           6.800           6.800          23.600 
30.04.2000  00:00:00           0.180           9.560           9.560          24.550 
01.05.2000  00:00:00           5.990           7.320           7.320          21.640 
02.05.2000  00:00:00          16.120           6.540           6.540          17.290 
03.05.2000  00:00:00           1.160           3.100           3.100           9.580 
04.05.2000  00:00:00           0.000           3.180           3.180           8.640 
05.05.2000  00:00:00           0.000           3.350           3.350           8.210 
06.05.2000  00:00:00           0.000           5.600           5.600           8.430 
07.05.2000  00:00:00           0.000           5.900           5.900           7.940 
08.05.2000  00:00:00           0.000           5.800           5.800           7.970 
09.05.2000  00:00:00           0.000           6.620           6.620           8.510 
10.05.2000  00:00:00           0.000           6.670           6.670           8.390 
11.05.2000  00:00:00           0.000           6.740           6.740           7.930 
12.05.2000  00:00:00           0.000           4.430           4.430           6.470 
13.05.2000  00:00:00           0.000           5.820           5.820           8.360 
14.05.2000  00:00:00           0.000           8.290           8.290           8.670 
15.05.2000  00:00:00           0.000           7.850           7.850           7.630 
16.05.2000  00:00:00           0.000           8.040           8.040           8.800 
17.05.2000  00:00:00          12.660          10.270          10.270          16.270 
18.05.2000  00:00:00          23.360           4.580           4.580           9.550 
19.05.2000  00:00:00           9.100           3.260           3.260           5.960 
20.05.2000  00:00:00           4.890           2.420           2.420           4.400 
21.05.2000  00:00:00           0.000           2.820           2.820           3.840 
22.05.2000  00:00:00           0.000           4.720           4.720           4.260 
23.05.2000  00:00:00           0.280           4.510           4.510           4.630 
24.05.2000  00:00:00           9.820           5.490           5.490           7.670 
25.05.2000  00:00:00           0.270           2.460           2.460           4.220 
26.05.2000  00:00:00           2.130           3.820           3.820           3.500 
27.05.2000  00:00:00           5.230           2.110           2.110           4.660 
28.05.2000  00:00:00          56.270           1.870           1.870           9.770 
29.05.2000  00:00:00           9.770           3.080           3.080           5.990 
30.05.2000  00:00:00           5.410           2.500           2.500           4.910 
31.05.2000  00:00:00           0.310           1.420           1.420           3.110 
01.06.2000  00:00:00           1.070           1.720           1.720           2.990 
02.06.2000  00:00:00          18.960           3.480           3.480           8.680 
03.06.2000  00:00:00           4.180           2.220           2.220           4.460 
04.06.2000  00:00:00           0.360           1.180           1.180           2.880 
05.06.2000  00:00:00           0.000           4.460           4.460           2.520 
06.06.2000  00:00:00           0.000           6.360           6.360           2.620 
07.06.2000  00:00:00           1.700           4.760           4.760           2.950 
08.06.2000  00:00:00           0.000           4.680           4.680           3.890 
09.06.2000  00:00:00           0.000           5.220           5.220           5.020 
10.06.2000  00:00:00           0.000          10.230          10.230           6.680 
11.06.2000  00:00:00           3.060           6.330           6.330           4.760 
12.06.2000  00:00:00           8.120           4.540           4.540           5.050 
13.06.2000  00:00:00           9.230           6.730           6.730          10.250 
14.06.2000  00:00:00          19.630           4.750           4.750           5.980 
15.06.2000  00:00:00           1.990           2.880           2.880           4.650 
16.06.2000  00:00:00           8.770           1.580           1.580           3.210 
17.06.2000  00:00:00           0.000           3.240           3.240           2.990 
18.06.2000  00:00:00           0.990           5.910           5.910           3.700 
19.06.2000  00:00:00           0.000           6.650           6.650           5.210 
20.06.2000  00:00:00           0.000          11.490          11.490           4.870 
21.06.2000  00:00:00           0.000          14.870          14.870           5.720 
22.06.2000  00:00:00           7.240          11.270          11.270           6.790 
23.06.2000  00:00:00          24.860           7.590           7.590           7.590 
24.06.2000  00:00:00          15.840           7.530           7.530           5.270 
25.06.2000  00:00:00           3.740           8.580           8.580           3.560 
26.06.2000  00:00:00           0.000           8.500           8.500           3.630 
27.06.2000  00:00:00           0.260           4.430           4.430           2.650 
28.06.2000  00:00:00           0.140           3.910           3.910           2.200 
29.06.2000  00:00:00           1.170           6.470           6.470           2.050 
30.06.2000  00:00:00           0.540           9.560           9.560           3.260 
01.07.2000  00:00:00           7.360          13.730          13.730           4.650 
02.07.2000  00:00:00           2.070          11.160          11.160           2.650 
03.07.2000  00:00:00           0.000          11.120          11.120           2.190 
04.07.2000  00:00:00           0.000          11.950          11.950           2.030 
05.07.2000  00:00:00           0.000           9.730           9.730           2.000 
06.07.2000  00:00:00           0.000          10.700          10.700           1.740 
07.07.2000  00:00:00           0.000           6.480           6.480           1.500 
08.07.2000  00:00:00           0.000           4.670           4.670           1.080 
09.07.2000  00:00:00           0.000           5.300           5.300           0.970 
10.07.2000  00:00:00           2.710           7.670           7.670           1.570 
11.07.2000  00:00:00          13.090           7.710           7.710           2.590 
12.07.2000  00:00:00           4.140           7.960           7.960           1.640 
13.07.2000  00:00:00           0.000           7.270           7.270           1.380 
14.07.2000  00:00:00           0.000           5.610           5.610           1.140 
15.07.2000  00:00:00           0.000           8.450           8.450           1.030 
16.07.2000  00:00:00           0.000          11.690          11.690           1.000 
17.07.2000  00:00:00           0.000          12.190          12.190           1.000 
18.07.2000  00:00:00           0.000          11.590          11.590           0.970 
19.07.2000  00:00:00           0.000          10.980          10.980           1.040 
20.07.2000  00:00:00           0.000           6.870           6.870           1.100 
21.07.2000  00:00:00           0.000           9.400           9.400           0.890 
22.07.2000  00:00:00           0.000          12.520          12.520           0.740 
23.07.2000  00:00:00           0.960          14.300          14.300           0.660 
24.07.2000  00:00:00           0.000          15.250          15.250           0.790 
25.07.2000  00:00:00           6.830          14.640          14.640           1.180 
26.07.2000  00:00:00           5.500          11.810          11.810           2.180 
27.07.2000  00:00:00          11.860          10.290          10.290           1.890 
28.07.2000  00:00:00           5.610           9.720           9.720           1.230 
29.07.2000  00:00:00           0.000          10.570          10.570           0.780 
30.07.2000  00:00:00           0.000          12.310          12.310           0.580 
31.07.2000  00:00:00           0.000          11.700          11.700           0.520 
01.08.2000  00:00:00           0.000           9.750           9.750           0.430 
02.08.2000  00:00:00           1.770          11.480          11.480           0.420 
03.08.2000  00:00:00           6.350          10.460          10.460           0.490 
04.08.2000  00:00:00           0.000          10.530          10.530           0.390 
05.08.2000  00:00:00           1.630           8.640           8.640           0.380 
06.08.2000  00:00:00           3.000           9.780           9.780           0.470 
07.08.2000  00:00:00           2.100           7.500           7.500           0.630 
08.08.2000  00:00:00           1.680           5.440           5.440           0.440 
09.08.2000  00:00:00           0.000           4.680           4.680           0.300 
10.08.2000  00:00:00           0.690           8.680           8.680           0.880 
11.08.2000  00:00:00          21.580          11.070          11.070           2.430 
12.08.2000  00:00:00           1.160           9.910           9.910           0.900 
13.08.2000  00:00:00           0.000           9.510           9.510           0.480 
14.08.2000  00:00:00           0.000          12.660          12.660           3.720 
15.08.2000  00:00:00          31.820          11.250          11.250           5.210 
16.08.2000  00:00:00           2.640           9.600           9.600           1.990 
17.08.2000  00:00:00           6.970           8.470           8.470           3.710 
18.08.2000  00:00:00          15.040           6.900           6.900           2.650 
19.08.2000  00:00:00           3.600           6.160           6.160           2.100 
20.08.2000  00:00:00          19.280           9.170           9.170           5.330 
21.08.2000  00:00:00           3.010           8.050           8.050           1.760 
22.08.2000  00:00:00           2.410           7.080           7.080           0.980 
23.08.2000  00:00:00           2.310           5.960           5.960           0.620 
24.08.2000  00:00:00           1.870           6.040           6.040           1.770 
25.08.2000  00:00:00           8.870           7.770           7.770           1.110 
26.08.2000  00:00:00           0.000          10.270          10.270           0.600 
27.08.2000  00:00:00           0.000          11.920          11.920           0.430 
28.08.2000  00:00:00           3.770          11.390          11.390           0.590 
29.08.2000  00:00:00          10.350          10.720          10.720           4.500 
30.08.2000  00:00:00           8.310           9.220           9.220           4.430 
31.08.2000  00:00:00           2.650           8.150           8.150           1.860 
01.09.2000  00:00:00           0.580           7.740           7.740           0.930 
02.09.2000  00:00:00           0.000           7.970           7.970           0.630 
03.09.2000  00:00:00           6.100           8.230           8.230           0.600 
04.09.2000  00:00:00           0.000           5.790           5.790           0.390 
05.09.2000  00:00:00           0.000           5.260           5.260           0.310 
06.09.2000  00:00:00           6.760           6.690           6.690           3.570 
07.09.2000  00:00:00          20.350           9.020           9.020           3.940 
08.09.2000  00:00:00           6.220           7.290           7.290           3.070 
09.09.2000  00:00:00           5.600           6.200           6.200           2.520 
10.09.2000  00:00:00           8.490           5.680           5.680           1.920 
11.09.2000  00:00:00           0.420           5.110           5.110           1.080 
12.09.2000  00:00:00           0.000           5.120           5.120           0.620 
13.09.2000  00:00:00           0.000           6.830           6.830           0.440 
14.09.2000  00:00:00           0.000           5.750           5.750           0.340 
15.09.2000  00:00:00           5.070           5.520           5.520           3.030 
16.09.2000  00:00:00           7.920           7.080           7.080           3.140 
17.09.2000  00:00:00           2.700           6.610           6.610           1.310 
18.09.2000  00:00:00           3.530           7.230           7.230           2.340 
19.09.2000  00:00:00           9.930           6.860           6.860           2.500 
20.09.2000  00:00:00           0.000           5.580           5.580           1.100 
21.09.2000  00:00:00           0.000           6.170           6.170           0.630 
22.09.2000  00:00:00           0.000           6.690           6.690           0.470 
23.09.2000  00:00:00           0.000           6.810           6.810           0.500 
24.09.2000  00:00:00           0.000           7.750           7.750           0.430 
25.09.2000  00:00:00           0.000           5.830           5.830           0.330 
26.09.2000  00:00:00           0.000           6.520           6.520           0.280 
27.09.2000  00:00:00           0.000           5.290           5.290           1.220 
28.09.2000  00:00:00          20.390           6.590           6.590           7.980 
29.09.2000  00:00:00          34.990           9.070           9.070           6.890 
30.09.2000  00:00:00           3.460          11.110          11.110           2.300 
01.10.2000  00:00:00           0.000          11.110          11.110           1.120 
02.10.2000  00:00:00           0.000           7.540           7.540           0.740 
03.10.2000  00:00:00           4.400           7.050           7.050           0.990 
04.10.2000  00:00:00           1.370           7.290           7.290           1.260 
05.10.2000  00:00:00           6.080           7.150           7.150           1.770 
06.10.2000  00:00:00           9.120           6.470           6.470           3.470 
07.10.2000  00:00:00           4.760           7.780           7.780           1.690 
08.10.2000  00:00:00           5.790           5.590           5.590           1.380 
09.10.2000  00:00:00           5.780           3.910           3.910           2.250 
10.10.2000  00:00:00           5.300           2.940           2.940           4.800 
11.10.2000  00:00:00          31.150           3.450           3.450           7.610 
12.10.2000  00:00:00          35.340           2.800           2.800           8.880 
13.10.2000  00:00:00           5.030           4.930           4.930           4.070 
14.10.2000  00:00:00           7.930           5.560           5.560           3.200 
15.10.2000  00:00:00           5.170           4.800           4.800           3.140 
16.10.2000  00:00:00           2.190           5.800           5.800           2.070 
17.10.2000  00:00:00          11.680           7.370           7.370           4.370 
18.10.2000  00:00:00           3.010           5.460           5.460           2.820 
19.10.2000  00:00:00          31.480           4.680           4.680           9.290 
20.10.2000  00:00:00          10.380           3.570           3.570           3.030 
21.10.2000  00:00:00           0.990           5.370           5.370           4.320 
22.10.2000  00:00:00          22.110           5.250           5.250           3.480 
23.10.2000  00:00:00           1.770           3.130           3.130           1.780 
24.10.2000  00:00:00          20.290           5.840           5.840           6.710 
25.10.2000  00:00:00          22.670           3.600           3.600           6.240 
26.10.2000  00:00:00          24.600           2.720           2.720           5.970 
27.10.2000  00:00:00           3.550           2.520           2.520           2.630 
28.10.2000  00:00:00           7.620           1.240           1.240           2.390 
29.10.2000  00:00:00          22.110           1.060           1.060           3.320 
30.10.2000  00:00:00          28.750           1.100           1.100           4.400 
31.10.2000  00:00:00          66.800           0.880           0.880           7.180 
01.11.2000  00:00:00          23.230           0.990           0.990           4.150 
02.11.2000  00:00:00          18.010           0.410           0.410           2.380 
03.11.2000  00:00:00          22.540           0.190           0.190           3.570 
04.11.2000  00:00:00          27.370           1.000           1.000           2.850 
05.11.2000  00:00:00           7.080           0.300           0.300           1.660 
06.11.2000  00:00:00          10.890          -0.490          -0.490           1.300 
07.11.2000  00:00:00           3.430           0.530           0.530           0.950 
08.11.2000  00:00:00          13.310           1.170           1.170           2.620 
09.11.2000  00:00:00          10.840           1.950           1.950           3.500 
10.11.2000  00:00:00           3.890           1.780           1.780           2.440 
11.11.2000  00:00:00           0.000           0.830           0.830           1.600 
12.11.2000  00:00:00          31.250           2.020           2.020          11.530 
13.11.2000  00:00:00          42.660           0.960           0.960           4.950 
14.11.2000  00:00:00          14.530          -0.270          -0.270           2.610 
15.11.2000  00:00:00           4.000           0.800           0.800           1.610 
16.11.2000  00:00:00           3.400           0.590           0.590           1.190 
17.11.2000  00:00:00          16.500           0.430           0.430           1.460 
18.11.2000  00:00:00           8.450          -0.440          -0.440           1.030 
19.11.2000  00:00:00          10.380          -2.440          -2.440           0.960 
