date        time     P_O_Lye2_178moh   T_Lye2_178moh   T_Lye2_178moh          Q_Lye2 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
04.09.2005  00:00:00           0.100          13.050          13.050           0.010 
05.09.2005  00:00:00           0.000          12.600          12.600           0.010 
06.09.2005  00:00:00           0.000          14.200          14.200           0.000 
07.09.2005  00:00:00           0.300          15.650          15.650           0.000 
08.09.2005  00:00:00           5.850          14.000          14.000           0.020 
09.09.2005  00:00:00           6.850          10.600          10.600           0.010 
10.09.2005  00:00:00           0.100           9.600           9.600           0.010 
11.09.2005  00:00:00           0.000          11.200          11.200           0.000 
12.09.2005  00:00:00           1.000          13.000          13.000           0.000 
13.09.2005  00:00:00           0.500          10.350          10.350           0.130 
14.09.2005  00:00:00          59.800          12.500          12.500           0.640 
15.09.2005  00:00:00           6.550          11.100          11.100           0.070 
16.09.2005  00:00:00           0.050           8.250           8.250           0.030 
17.09.2005  00:00:00           0.050           7.100           7.100           0.030 
18.09.2005  00:00:00          34.650           9.650           9.650           0.470 
19.09.2005  00:00:00           3.750          12.100          12.100           0.070 
20.09.2005  00:00:00           8.550          12.500          12.500           0.130 
21.09.2005  00:00:00           4.500          11.250          11.250           0.050 
22.09.2005  00:00:00           0.000          12.600          12.600           0.030 
23.09.2005  00:00:00           5.950          13.500          13.500           0.030 
24.09.2005  00:00:00          10.450          13.050          13.050           0.060 
25.09.2005  00:00:00           0.000           8.650           8.650           0.030 
26.09.2005  00:00:00           0.400          12.150          12.150           0.020 
27.09.2005  00:00:00          16.400          13.300          13.300           0.160 
28.09.2005  00:00:00           3.350          12.000          12.000           0.040 
29.09.2005  00:00:00          22.200          10.000          10.000           0.190 
30.09.2005  00:00:00           2.150           7.850           7.850           0.080 
01.10.2005  00:00:00          31.400          10.350          10.350           0.510 
02.10.2005  00:00:00           1.150          10.250          10.250           0.080 
03.10.2005  00:00:00           4.950          10.200          10.200           0.090 
04.10.2005  00:00:00           0.450          10.300          10.300           0.040 
05.10.2005  00:00:00           0.000          10.050          10.050           0.030 
06.10.2005  00:00:00           0.000          11.300          11.300           0.020 
07.10.2005  00:00:00           0.000          11.850          11.850           0.020 
08.10.2005  00:00:00           0.000          14.100          14.100           0.020 
09.10.2005  00:00:00          21.250          11.450          11.450           0.220 
10.10.2005  00:00:00           0.000          10.550          10.550           0.040 
11.10.2005  00:00:00           0.000          13.550          13.550           0.020 
12.10.2005  00:00:00           0.000          14.050          14.050           0.020 
13.10.2005  00:00:00           0.100          14.200          14.200           0.060 
14.10.2005  00:00:00          15.550           9.400           9.400           0.050 
15.10.2005  00:00:00           0.000           6.250           6.250           0.020 
16.10.2005  00:00:00           0.100           6.650           6.650           0.020 
17.10.2005  00:00:00           0.000           7.300           7.300           0.010 
18.10.2005  00:00:00           0.000           6.450           6.450           0.010 
19.10.2005  00:00:00           0.000           4.700           4.700           0.010 
20.10.2005  00:00:00           0.650           8.500           8.500           0.060 
21.10.2005  00:00:00          19.350           9.150           9.150           0.070 
22.10.2005  00:00:00           5.900           8.600           8.600           0.060 
23.10.2005  00:00:00           4.550           7.250           7.250           0.050 
24.10.2005  00:00:00           2.550           3.800           3.800           0.030 
25.10.2005  00:00:00           0.000           3.150           3.150           0.100 
26.10.2005  00:00:00          16.350           7.100           7.100           0.100 
27.10.2005  00:00:00           0.350           7.400           7.400           0.040 
28.10.2005  00:00:00           0.000          11.800          11.800           0.110 
29.10.2005  00:00:00          18.050          12.700          12.700           0.120 
30.10.2005  00:00:00           2.850          11.550          11.550           0.050 
31.10.2005  00:00:00           2.350          14.100          14.100           0.050 
01.11.2005  00:00:00          15.100          12.500          12.500           0.150 
02.11.2005  00:00:00           9.400           9.950           9.950           0.080 
03.11.2005  00:00:00           9.400          10.000          10.000           0.290 
04.11.2005  00:00:00          24.300          11.700          11.700           0.300 
05.11.2005  00:00:00          11.950          10.250          10.250           0.130 
06.11.2005  00:00:00          10.000           8.600           8.600           0.190 
07.11.2005  00:00:00          15.250           9.850           9.850           0.190 
08.11.2005  00:00:00          15.300           8.200           8.200           0.280 
09.11.2005  00:00:00          17.250          11.150          11.150           0.300 
10.11.2005  00:00:00          17.750           8.150           8.150           0.420 
11.11.2005  00:00:00          16.600           8.400           8.400           0.110 
12.11.2005  00:00:00           6.300           8.600           8.600           0.090 
13.11.2005  00:00:00          13.850           7.650           7.650           0.110 
14.11.2005  00:00:00           5.150           6.100           6.100           0.780 
15.11.2005  00:00:00          51.600           8.200           8.200           0.270 
16.11.2005  00:00:00           5.350           1.700           1.700           0.080 
17.11.2005  00:00:00           1.000          -1.500          -1.500           0.040 
18.11.2005  00:00:00           0.100          -3.450          -3.450           0.030 
19.11.2005  00:00:00           0.000          -4.400          -4.400           0.020 
20.11.2005  00:00:00           2.050           1.150           1.150           0.060 
21.11.2005  00:00:00           7.100           5.100           5.100           0.050 
22.11.2005  00:00:00           3.550           5.700           5.700           0.030 
23.11.2005  00:00:00           3.350           4.550           4.550           0.030 
24.11.2005  00:00:00          18.100           4.850           4.850           0.250 
25.11.2005  00:00:00           3.250           2.200           2.200           0.070 
26.11.2005  00:00:00           0.100           2.450           2.450           0.040 
27.11.2005  00:00:00           0.000           0.300           0.300           0.020 
28.11.2005  00:00:00           0.000          -0.200          -0.200           0.020 
29.11.2005  00:00:00           0.100          -0.750          -0.750           0.020 
30.11.2005  00:00:00           5.800          -1.600          -1.600           0.020 
01.12.2005  00:00:00           6.350          -0.100          -0.100           0.070 
02.12.2005  00:00:00           1.650           4.550           4.550           0.050 
03.12.2005  00:00:00           0.000           3.900           3.900           0.030 
04.12.2005  00:00:00           0.000           3.250           3.250           0.020 
05.12.2005  00:00:00           0.000           3.700           3.700           0.020 
06.12.2005  00:00:00           1.200           3.950           3.950           0.020 
07.12.2005  00:00:00           0.100           3.300           3.300           0.015 
08.12.2005  00:00:00           0.500           1.950           1.950           0.010 
09.12.2005  00:00:00           0.000           1.250           1.250           0.010 
10.12.2005  00:00:00           4.350           1.450           1.450           0.080 
11.12.2005  00:00:00          14.750           5.650           5.650           0.080 
12.12.2005  00:00:00           0.300           6.550           6.550           0.040 
13.12.2005  00:00:00           2.700           5.450           5.450           0.090 
14.12.2005  00:00:00           4.500           6.350           6.350           0.090 
15.12.2005  00:00:00           2.050           5.950           5.950           0.130 
16.12.2005  00:00:00           4.150           2.250           2.250           0.070 
17.12.2005  00:00:00           2.700          -0.900          -0.900           0.040 
18.12.2005  00:00:00           0.000           0.800           0.800           0.030 
19.12.2005  00:00:00           7.550           0.350           0.350           0.110 
20.12.2005  00:00:00           7.700           3.600           3.600           0.150 
21.12.2005  00:00:00           0.750           1.850           1.850           0.110 
22.12.2005  00:00:00          12.550           5.050           5.050           0.110 
23.12.2005  00:00:00           0.700           3.400           3.400           0.070 
24.12.2005  00:00:00           8.600           5.300           5.300           0.090 
25.12.2005  00:00:00           0.000           2.650           2.650           0.040 
26.12.2005  00:00:00           0.000           0.350           0.350           0.030 
27.12.2005  00:00:00           0.000          -1.550          -1.550           0.020 
28.12.2005  00:00:00           0.000          -3.500          -3.500           0.020 
29.12.2005  00:00:00           0.000          -3.450          -3.450           0.020 
30.12.2005  00:00:00           0.000          -2.850          -2.850           0.010 
31.12.2005  00:00:00           0.500          -0.800          -0.800           0.010 
01.01.2006  00:00:00           0.000          -0.200          -0.200           0.010 
02.01.2006  00:00:00           0.000          -1.800          -1.800           0.010 
03.01.2006  00:00:00           0.000          -0.600          -0.600           0.010 
04.01.2006  00:00:00           1.650           1.600           1.600           0.010 
05.01.2006  00:00:00           0.000           0.300           0.300           0.010 
06.01.2006  00:00:00           0.000           0.300           0.300           0.010 
07.01.2006  00:00:00           0.000          -0.950          -0.950           0.010 
08.01.2006  00:00:00           0.000          -0.700          -0.700           0.010 
09.01.2006  00:00:00           0.000           0.800           0.800           0.010 
10.01.2006  00:00:00          14.400           2.350           2.350           0.140 
11.01.2006  00:00:00          25.700           5.900           5.900           0.420 
12.01.2006  00:00:00          11.300           5.050           5.050           0.110 
13.01.2006  00:00:00           0.000           5.100           5.100           0.050 
14.01.2006  00:00:00           0.650           4.100           4.100           0.040 
15.01.2006  00:00:00           4.450           4.200           4.200           0.050 
16.01.2006  00:00:00           3.100           3.000           3.000           0.040 
17.01.2006  00:00:00           4.650           0.850           0.850           0.160 
18.01.2006  00:00:00          22.200           0.950           0.950           0.100 
19.01.2006  00:00:00           2.400          -0.150          -0.150           0.040 
20.01.2006  00:00:00           4.650           0.200           0.200           0.030 
21.01.2006  00:00:00           3.650          -1.650          -1.650           0.030 
22.01.2006  00:00:00           0.000          -4.000          -4.000           0.020 
23.01.2006  00:00:00           2.350          -2.050          -2.050           0.030 
24.01.2006  00:00:00           0.100           1.400           1.400           0.100 
25.01.2006  00:00:00           6.150           2.400           2.400           0.120 
26.01.2006  00:00:00           0.000          -0.850          -0.850           0.050 
27.01.2006  00:00:00           0.000          -2.000          -2.000           0.030 
28.01.2006  00:00:00           0.000          -2.150          -2.150           0.020 
29.01.2006  00:00:00           0.000          -0.700          -0.700           0.020 
30.01.2006  00:00:00           0.200           1.400           1.400           0.030 
31.01.2006  00:00:00           0.000           1.550           1.550           0.030 
01.02.2006  00:00:00           0.150          -1.300          -1.300           0.020 
02.02.2006  00:00:00           0.000          -2.700          -2.700           0.020 
03.02.2006  00:00:00           0.000          -1.100          -1.100           0.020 
04.02.2006  00:00:00           4.400           0.600           0.600           0.020 
05.02.2006  00:00:00           4.200          -1.800          -1.800           0.040 
06.02.2006  00:00:00          26.400           1.450           1.450           0.570 
07.02.2006  00:00:00           3.050           5.100           5.100           0.180 
08.02.2006  00:00:00          19.650           3.500           3.500           0.360 
09.02.2006  00:00:00           3.700           1.600           1.600           0.080 
10.02.2006  00:00:00           0.000           0.150           0.150           0.040 
11.02.2006  00:00:00           0.000          -3.100          -3.100           0.030 
12.02.2006  00:00:00           0.550          -1.250          -1.250           0.020 
13.02.2006  00:00:00           1.600           2.500           2.500           0.020 
14.02.2006  00:00:00           0.600           2.400           2.400           0.020 
15.02.2006  00:00:00           0.700           1.300           1.300           0.070 
16.02.2006  00:00:00           9.500           1.800           1.800           0.150 
17.02.2006  00:00:00           9.600           2.100           2.100           0.080 
18.02.2006  00:00:00           0.000           0.000           0.000           0.040 
19.02.2006  00:00:00           0.000          -0.100          -0.100           0.030 
20.02.2006  00:00:00           0.000          -0.250          -0.250           0.020 
21.02.2006  00:00:00           0.000          -2.900          -2.900           0.020 
22.02.2006  00:00:00           0.000          -1.100          -1.100           0.010 
