,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.5346753],[0.148],[0.598],[0.45],[0.0633247],[0.45]
1,[0.40356767],[0.178],[0.518],[0.34],[0.11443233],[0.34]
2,[0.29023695],[0.128],[0.448],[0.32],[0.15776305],[0.32]
3,[-0.05122318],[-6.965],[1.415],[8.38],[1.46622318],[8.38]
4,[0.19658102],[1.657],[9.547],[7.89],[9.35041898],[7.89]
5,[-0.37078607],[-3.43],[4.82],[8.25],[5.19078607],[8.25]
6,[-0.4278243],[0.526],[3.526],[3.],[3.95382429],[3.]
7,[0.07941157],[0.412],[1.582],[1.17],[1.50258843],[1.17]
8,[0.1888973],[0.152],[0.822],[0.67],[0.6331027],[0.67]
9,[0.14175834],[0.227],[0.717],[0.49],[0.57524166],[0.49]
10,[-0.10498028],[-0.469],[0.751],[1.22],[0.85598028],[1.22]
11,[0.20160513],[-0.288],[0.702],[0.99],[0.50039487],[0.99]
12,[0.07987314],[-0.799],[0.691],[1.49],[0.61112686],[1.49]
13,[0.31286415],[-0.203],[0.647],[0.85],[0.33413585],[0.85]
14,[0.42939723],[0.044],[0.564],[0.52],[0.13460277],[0.52]
15,[0.52169466],[0.081],[0.491],[0.41],[-0.03069466],[0.41]
16,[0.6741042],[0.088],[0.428],[0.34],[-0.24610421],[0.34]
17,[0.62497675],[0.092],[0.372],[0.28],[-0.25297675],[0.28]
18,[0.5380299],[0.074],[0.324],[0.25],[-0.21402991],[0.25]
19,[0.48479214],[0.052],[0.282],[0.23],[-0.20279214],[0.23]
20,[0.12153331],[-0.404],[0.306],[0.71],[0.18446669],[0.71]
21,[-0.8087859],[-0.102],[0.658],[0.76],[1.46678592],[0.76]
22,[-0.34465602],[0.046],[0.486],[0.44],[0.83065602],[0.44]
23,[-0.09097134],[0.071],[0.411],[0.34],[0.50197134],[0.34]
24,[0.05261676],[0.077],[0.357],[0.28],[0.30438324],[0.28]
25,[-0.04216672],[-0.67],[0.31],[0.98],[0.35216672],[0.98]
26,[0.05251568],[0.05],[0.27],[0.22],[0.21748432],[0.22]
27,[-0.07093104],[0.034],[0.234],[0.2],[0.30493104],[0.2]
28,[-0.25584966],[0.003],[0.203],[0.2],[0.45884966],[0.2]
29,[-0.4698267],[-0.307],[0.233],[0.54],[0.7028267],[0.54]
30,[-0.34909832],[-0.38],[0.31],[0.69],[0.65909832],[0.69]
31,[-0.81235254],[-1.654],[0.406],[2.06],[1.21835254],[2.06]
32,[-0.41211006],[-0.318],[0.962],[1.28],[1.37411006],[1.28]
33,[-0.14559805],[-0.063],[0.637],[0.7],[0.78259805],[0.7]
34,[-0.41367608],[-2.767],[0.913],[3.68],[1.32667608],[3.68]
35,[-0.26346442],[-0.498],[1.702],[2.2],[1.96546442],[2.2]
36,[-0.40645704],[-0.457],[1.613],[2.07],[2.01945704],[2.07]
37,[-0.35616046],[-0.259],[2.011],[2.27],[2.36716046],[2.27]
38,[-0.01292015],[-0.676],[1.344],[2.02],[1.35692015],[2.02]
39,[-0.16327886],[-10.828],[3.372],[14.2],[3.53527886],[14.2]
40,[-0.76745504],[2.829],[6.739],[3.91],[7.50645504],[3.91]
41,[-0.6303154],[0.01],[3.3],[3.29],[3.93031542],[3.29]
42,[-0.575611],[-2.323],[3.567],[5.89],[4.142611],[5.89]
43,[-0.39301586],[-0.084],[2.216],[2.3],[2.60901586],[2.3]
44,[-0.27985916],[-0.04],[1.2],[1.24],[1.47985916],[1.24]
45,[-0.15577321],[-0.21],[1.11],[1.32],[1.26577321],[1.32]
46,[0.13872603],[-0.351],[0.999],[1.35],[0.86027397],[1.35]
47,[-0.19381064],[-0.876],[1.014],[1.89],[1.20781064],[1.89]
48,[-0.10627771],[-0.207],[0.963],[1.17],[1.06927771],[1.17]
49,[-0.00861648],[-2.183],[0.897],[3.08],[0.90561648],[3.08]
50,[-0.3747439],[-0.918],[2.752],[3.67],[3.12674391],[3.67]
51,[-0.25605315],[-8.269],[4.261],[12.53],[4.51705315],[12.53]
52,[0.5946874],[2.654],[13.684],[11.03],[13.0893126],[11.03]
53,[0.01124572],[1.693],[4.323],[2.63],[4.31175428],[2.63]
54,[-0.27669653],[-8.168],[1.412],[9.58],[1.68869653],[9.58]
55,[0.17310463],[-1.206],[11.464],[12.67],[11.29089537],[12.67]
56,[-0.0046712],[-5.596],[6.184],[11.78],[6.1886712],[11.78]
57,[0.5828455],[5.519],[17.859],[12.34],[17.27615449],[12.34]
58,[-0.00504897],[2.383],[5.233],[2.85],[5.23804897],[2.85]
