,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
420,[-0.14173663],[0.016],[0.656],[0.64],[0.79773663],[0.64]
421,[-0.13351911],[0.088],[0.678],[0.59],[0.81151911],[0.59]
422,[-0.12183052],[0.134],[0.694],[0.56],[0.81583052],[0.56]
423,[-0.11682433],[0.19],[0.71],[0.52],[0.82682433],[0.52]
424,[-0.07328755],[0.215],[0.665],[0.45],[0.73828755],[0.45]
425,[-0.05657408],[0.136],[0.586],[0.45],[0.64257408],[0.45]
426,[-0.09222555],[0.077],[0.517],[0.44],[0.60922555],[0.44]
427,[-0.13371652],[0.049],[0.469],[0.42],[0.60271652],[0.42]
428,[-0.04317069],[0.074],[0.504],[0.43],[0.54717069],[0.43]
429,[-0.09841287],[0.151],[0.521],[0.37],[0.61941287],[0.37]
430,[-0.14837605],[0.121],[0.531],[0.41],[0.67937605],[0.41]
431,[-0.11778605],[0.177],[0.557],[0.38],[0.67478605],[0.38]
432,[-0.02458325],[0.2],[0.53],[0.33],[0.55458325],[0.33]
433,[0.00819716],[0.147],[0.467],[0.32],[0.45880284],[0.32]
434,[-0.01234287],[0.079],[0.409],[0.33],[0.42134287],[0.33]
435,[-0.15397215],[0.066],[0.386],[0.32],[0.53997215],[0.32]
436,[-0.09930354],[0.087],[0.367],[0.28],[0.46630354],[0.28]
437,[-0.0106158],[0.063],[0.323],[0.26],[0.3336158],[0.26]
438,[0.01329577],[0.033],[0.283],[0.25],[0.26970423],[0.25]
439,[0.01282054],[0.038],[0.248],[0.21],[0.23517946],[0.21]
440,[0.01020572],[0.008],[0.218],[0.21],[0.20779428],[0.21]
441,[-0.07327592],[-0.056],[0.194],[0.25],[0.26727592],[0.25]
442,[-0.19471318],[-0.142],[0.228],[0.37],[0.42271318],[0.37]
443,[-0.24596614],[0.055],[0.375],[0.32],[0.62096614],[0.32]
444,[-0.06697589],[0.14],[0.42],[0.28],[0.48697589],[0.28]
445,[-0.12472492],[0.14],[0.43],[0.29],[0.55472492],[0.29]
446,[-0.05240855],[0.109],[0.439],[0.33],[0.49140855],[0.33]
447,[0.63541985],[-1.285],[1.245],[2.53],[0.60958015],[2.53]
448,[0.81226623],[-3.241],[1.899],[5.14],[1.08673377],[5.14]
449,[0.14876288],[-0.637],[1.493],[2.13],[1.34423712],[2.13]
450,[0.17253396],[-0.381],[1.009],[1.39],[0.83646604],[1.39]
451,[0.37201506],[-0.102],[0.938],[1.04],[0.56598494],[1.04]
452,[0.23093785],[-0.076],[0.844],[0.92],[0.61306215],[0.92]
453,[0.31224817],[-0.937],[0.863],[1.8],[0.55075183],[1.8]
454,[0.5311111],[-0.064],[1.116],[1.18],[0.58488888],[1.18]
455,[0.6792346],[0.193],[1.033],[0.84],[0.35376538],[0.84]
456,[0.44738588],[0.169],[0.919],[0.75],[0.47161412],[0.75]
457,[0.35067293],[0.213],[0.813],[0.6],[0.46232707],[0.6]
458,[0.23841088],[0.134],[0.714],[0.58],[0.47558912],[0.58]
459,[0.18809494],[0.148],[0.628],[0.48],[0.43990506],[0.48]
460,[0.12044239],[0.133],[0.553],[0.42],[0.43255761],[0.42]
461,[0.0726119],[0.026],[0.486],[0.46],[0.4133881],[0.46]
462,[0.01320577],[-0.023],[0.427],[0.45],[0.41379423],[0.45]
463,[-0.02279675],[-0.041],[0.379],[0.42],[0.40179675],[0.42]
464,[-0.06265432],[-0.041],[0.349],[0.39],[0.41165432],[0.39]
465,[-0.06811517],[-0.054],[0.326],[0.38],[0.39411517],[0.38]
466,[-0.09091419],[-0.052],[0.308],[0.36],[0.39891419],[0.36]
467,[-0.08149832],[-0.05],[0.3],[0.35],[0.38149832],[0.35]
468,[-0.07493347],[-0.025],[0.285],[0.31],[0.35993347],[0.31]
469,[0.03100902],[-0.02],[0.26],[0.28],[0.22899098],[0.28]
470,[0.01986244],[-0.091],[0.229],[0.32],[0.20913756],[0.32]
471,[-0.02328867],[-0.106],[0.204],[0.31],[0.22728867],[0.31]
472,[-0.01986074],[-0.097],[0.183],[0.28],[0.20286074],[0.28]
473,[0.01279655],[-0.068],[0.162],[0.23],[0.14920345],[0.23]
474,[-0.00375611],[-0.058],[0.142],[0.2],[0.14575611],[0.2]
475,[-0.0942685],[-0.325],[0.125],[0.45],[0.2192685],[0.45]
476,[-0.07721633],[-0.25],[0.11],[0.36],[0.18721633],[0.36]
477,[0.02340657],[-0.153],[0.097],[0.25],[0.07359343],[0.25]
478,[-0.05800453],[-0.145],[0.085],[0.23],[0.14300453],[0.23]
479,[-0.10523027],[-0.165],[0.075],[0.24],[0.18023027],[0.24]
480,[-0.02577272],[-0.164],[0.066],[0.23],[0.09177272],[0.23]
481,[-0.03665131],[-0.172],[0.058],[0.23],[0.09465131],[0.23]
482,[-0.00071651],[-0.149],[0.051],[0.2],[0.05171651],[0.2]
483,[-0.00258324],[-0.145],[0.045],[0.19],[0.04758324],[0.19]
484,[-0.04385123],[-0.16],[0.04],[0.2],[0.08385123],[0.2]
485,[-0.0551528],[-0.171],[0.039],[0.21],[0.0941528],[0.21]
486,[0.09448522],[-0.153],[0.037],[0.19],[-0.05748522],[0.19]
487,[-0.08002722],[-0.147],[0.033],[0.18],[0.11302722],[0.18]
488,[-0.06478694],[-0.141],[0.029],[0.17],[0.09378694],[0.17]
489,[-0.04536235],[-0.144],[0.026],[0.17],[0.07136235],[0.17]
490,[-0.06197977],[-0.137],[0.023],[0.16],[0.08497977],[0.16]
491,[-0.12162149],[-0.14],[0.02],[0.16],[0.14162149],[0.16]
492,[-0.09957564],[-0.138],[0.022],[0.16],[0.12157564],[0.16]
493,[0.07472113],[-0.126],[0.024],[0.15],[-0.05072113],[0.15]
494,[-0.1034525],[-0.119],[0.021],[0.14],[0.1244525],[0.14]
495,[-0.13773888],[-0.121],[0.019],[0.14],[0.15673888],[0.14]
496,[-0.17458916],[-0.114],[0.016],[0.13],[0.19058916],[0.13]
497,[-0.14148086],[-0.106],[0.014],[0.12],[0.15548086],[0.12]
498,[-0.07507825],[-0.117],[0.013],[0.13],[0.08807825],[0.13]
499,[-0.04264352],[-0.119],[0.011],[0.13],[0.05364352],[0.13]
500,[-0.12368494],[-0.12],[0.01],[0.13],[0.13368494],[0.13]
501,[0.03869396],[-0.14],[0.02],[0.16],[-0.01869396],[0.16]
502,[-0.00937819],[-0.13],[0.03],[0.16],[0.03937819],[0.16]
503,[-0.00137335],[-0.133],[0.027],[0.16],[0.02837335],[0.16]
504,[-0.00421652],[-0.137],[0.023],[0.16],[0.02721652],[0.16]
505,[-0.00151435],[-0.129],[0.021],[0.15],[0.02251435],[0.15]
506,[-0.00096413],[-0.132],[0.018],[0.15],[0.01896413],[0.15]
507,[-0.00371313],[-0.134],[0.016],[0.15],[0.01971313],[0.15]
508,[0.0002639],[-0.126],[0.014],[0.14],[0.0137361],[0.14]
509,[-0.00360483],[-0.128],[0.012],[0.14],[0.01560483],[0.14]
510,[-0.00074434],[-0.129],[0.011],[0.14],[0.01174434],[0.14]
511,[-0.01217851],[-0.131],[0.009],[0.14],[0.02117851],[0.14]
512,[0.0026612],[-0.122],[0.008],[0.13],[0.0053388],[0.13]
513,[-0.00076324],[-0.123],[0.007],[0.13],[0.00776324],[0.13]
514,[-0.02692908],[-0.124],[0.006],[0.13],[0.03292908],[0.13]
515,[-0.08830523],[-0.121],[0.009],[0.13],[0.09730523],[0.13]
