,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.02364723],[0.028],[0.078],[0.05],[0.05435277],[0.05]
1,[0.01911788],[0.024],[0.074],[0.05],[0.05488212],[0.05]
2,[0.02416587],[0.02],[0.07],[0.05],[0.04583413],[0.05]
3,[0.02013058],[0.017],[0.067],[0.05],[0.04686942],[0.05]
4,[0.02790568],[0.004],[0.064],[0.06],[0.03609432],[0.06]
5,[-0.06649837],[0.09],[0.15],[0.06],[0.21649837],[0.06]
6,[0.05452222],[0.057],[0.117],[0.06],[0.06247778],[0.06]
7,[0.00219776],[0.032],[0.082],[0.05],[0.07980224],[0.05]
8,[0.02184408],[0.031],[0.081],[0.05],[0.05915592],[0.05]
9,[0.02215412],[0.028],[0.078],[0.05],[0.05584588],[0.05]
10,[0.0287597],[0.024],[0.074],[0.05],[0.0452403],[0.05]
11,[0.02292717],[0.02],[0.07],[0.05],[0.04707283],[0.05]
12,[0.02014297],[0.017],[0.067],[0.05],[0.04685703],[0.05]
13,[0.02036563],[0.013],[0.063],[0.05],[0.04263437],[0.05]
14,[0.0179124],[0.01],[0.06],[0.05],[0.0420876],[0.05]
15,[0.01592026],[0.007],[0.057],[0.05],[0.04107974],[0.05]
16,[0.02480505],[0.004],[0.054],[0.05],[0.02919495],[0.05]
17,[0.01731524],[0.002],[0.052],[0.05],[0.03468476],[0.05]
18,[0.01183579],[-0.001],[0.049],[0.05],[0.03716421],[0.05]
19,[0.01379117],[-0.003],[0.047],[0.05],[0.03320883],[0.05]
20,[0.02041472],[-0.005],[0.045],[0.05],[0.02458528],[0.05]
21,[-0.0634109],[0.187],[0.257],[0.07],[0.3204109],[0.07]
22,[0.10790101],[0.202],[0.252],[0.05],[0.14409899],[0.05]
23,[-0.04964658],[0.045],[0.105],[0.06],[0.15464658],[0.06]
24,[-0.04552586],[0.012],[0.092],[0.08],[0.13752586],[0.08]
25,[-0.01975308],[0.013],[0.093],[0.08],[0.11275308],[0.08]
26,[-0.11530918],[0.06],[0.13],[0.07],[0.24530918],[0.07]
27,[-0.14684816],[0.084],[0.224],[0.14],[0.37084816],[0.14]
28,[-0.11059129],[0.05],[0.41],[0.36],[0.52059129],[0.36]
29,[-0.04197231],[0.259],[0.559],[0.3],[0.60097231],[0.3]
30,[0.06619353],[0.291],[0.471],[0.18],[0.40480647],[0.18]
31,[0.08830062],[0.111],[0.271],[0.16],[0.18269938],[0.16]
32,[0.0605866],[0.054],[0.154],[0.1],[0.0934134],[0.1]
33,[0.03095246],[0.054],[0.144],[0.09],[0.11304754],[0.09]
34,[0.02157244],[0.057],[0.137],[0.08],[0.11542756],[0.08]
35,[0.01384109],[0.06],[0.13],[0.07],[0.11615891],[0.07]
36,[0.01645011],[0.054],[0.124],[0.07],[0.10754989],[0.07]
37,[0.01334599],[0.008],[0.118],[0.11],[0.10465401],[0.11]
38,[-0.08530662],[0.018],[0.248],[0.23],[0.33330662],[0.23]
39,[0.06143643],[0.222],[0.352],[0.13],[0.29056357],[0.13]
40,[-0.02235199],[0.132],[0.282],[0.15],[0.30435199],[0.15]
41,[-0.0441884],[-0.03],[0.18],[0.21],[0.2241884],[0.21]
42,[-0.10889123],[-0.095],[0.165],[0.26],[0.27389123],[0.26]
43,[-0.17679338],[-0.166],[0.224],[0.39],[0.40079338],[0.39]
44,[-0.1539456],[-0.249],[0.281],[0.53],[0.4349456],[0.53]
45,[-0.1598056],[-0.204],[0.406],[0.61],[0.5658056],[0.61]
46,[-0.07067947],[0.083],[0.463],[0.38],[0.53367947],[0.38]
47,[-0.04425616],[0.112],[0.352],[0.24],[0.39625616],[0.24]
48,[0.06867852],[0.042],[0.212],[0.17],[0.14332148],[0.17]
49,[0.00809679],[0.043],[0.193],[0.15],[0.18490321],[0.15]
50,[-0.19743888],[0.085],[0.285],[0.2],[0.48243888],[0.2]
51,[-0.01891428],[0.107],[0.307],[0.2],[0.32591428],[0.2]
52,[-0.23050576],[-0.155],[0.355],[0.51],[0.58550576],[0.51]
53,[-0.05369829],[-0.658],[0.462],[1.12],[0.51569829],[1.12]
54,[-0.0808395],[0.036],[0.496],[0.46],[0.5768395],[0.46]
55,[-0.1186806],[0.129],[0.469],[0.34],[0.5876806],[0.34]
56,[-0.10918314],[-0.191],[0.389],[0.58],[0.49818314],[0.58]
57,[-0.11932875],[-0.656],[0.584],[1.24],[0.70332875],[1.24]
58,[0.10221709],[-0.221],[0.669],[0.89],[0.56678291],[0.89]
59,[-0.04218839],[0.048],[0.658],[0.61],[0.70018839],[0.61]
60,[0.21911739],[-0.116],[0.544],[0.66],[0.32488261],[0.66]
