,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[-0.2589156],[0.101],[0.531],[0.43],[0.7899156],[0.43]
1,[-0.24007107],[0.016],[0.406],[0.39],[0.64607107],[0.39]
2,[-0.2182219],[-0.03],[0.32],[0.35],[0.5382219],[0.35]
3,[-0.2232063],[-0.067],[0.253],[0.32],[0.4762063],[0.32]
4,[-0.1988689],[-0.111],[0.189],[0.3],[0.3878689],[0.3]
5,[-0.36478758],[0.099],[0.399],[0.3],[0.76378758],[0.3]
6,[-0.3556088],[0.351],[0.691],[0.34],[1.04660879],[0.34]
7,[-0.38272023],[0.344],[0.804],[0.46],[1.18672023],[0.46]
8,[-0.47199255],[0.358],[0.978],[0.62],[1.44999255],[0.62]
9,[-0.38085148],[0.281],[1.011],[0.73],[1.39185148],[0.73]
10,[-0.293394],[0.06],[0.82],[0.76],[1.113394],[0.76]
11,[-0.2936892],[-0.025],[0.635],[0.66],[0.92868919],[0.66]
12,[-0.2901631],[-0.069],[0.491],[0.56],[0.7811631],[0.56]
13,[-0.2883926],[-0.102],[0.378],[0.48],[0.6663926],[0.48]
14,[-0.28720957],[-0.13],[0.29],[0.42],[0.57720957],[0.42]
15,[-0.2660281],[-0.159],[0.221],[0.38],[0.48702811],[0.38]
16,[-0.24927881],[-0.183],[0.167],[0.35],[0.41627881],[0.35]
17,[-0.27969068],[-0.192],[0.138],[0.33],[0.41769068],[0.33]
18,[-0.26443323],[-0.185],[0.115],[0.3],[0.37943323],[0.3]
19,[-0.26133838],[-0.196],[0.084],[0.28],[0.34533838],[0.28]
20,[-0.27069777],[-0.185],[0.065],[0.25],[0.33569777],[0.25]
21,[-0.49573797],[0.043],[0.343],[0.3],[0.83873797],[0.3]
22,[-0.40871957],[0.21],[0.54],[0.33],[0.94871957],[0.33]
23,[-1.3078086],[0.07],[1.01],[0.94],[2.31780864],[0.94]
24,[-1.1555855],[-0.102],[1.748],[1.85],[2.90358553],[1.85]
25,[-1.1659676],[-0.164],[2.596],[2.76],[3.76196758],[2.76]
26,[-0.625171],[0.872],[3.622],[2.75],[4.24717101],[2.75]
27,[0.01917039],[-0.129],[5.001],[5.13],[4.98182961],[5.13]
28,[0.25174794],[-1.779],[6.181],[7.96],[5.92925206],[7.96]
29,[0.7866697],[-0.541],[14.749],[15.29],[13.96233033],[15.29]
30,[-0.80218536],[1.833],[9.623],[7.79],[10.42518536],[7.79]
31,[-0.8356336],[-1.164],[2.916],[4.08],[3.75163358],[4.08]
32,[-0.84246093],[-0.417],[1.873],[2.29],[2.71546093],[2.29]
33,[-0.657307],[0.062],[1.462],[1.4],[2.11930703],[1.4]
34,[-0.31687322],[0.247],[1.227],[0.98],[1.54387322],[0.98]
35,[-0.20976979],[0.327],[1.037],[0.71],[1.24676979],[0.71]
36,[-0.14676464],[0.287],[0.807],[0.52],[0.95376464],[0.52]
37,[-0.16759236],[0.192],[0.722],[0.53],[0.88959236],[0.53]
38,[-0.4289405],[0.095],[1.285],[1.19],[1.7139405],[1.19]
39,[-0.0004991],[0.554],[1.634],[1.08],[1.6344991],[1.08]
40,[-0.14608595],[0.497],[1.397],[0.9],[1.54308595],[0.9]
41,[-0.4284852],[-1.182],[1.928],[3.11],[2.35648521],[3.11]
42,[0.11455327],[-1.311],[5.859],[7.17],[5.74444673],[7.17]
43,[0.15057322],[-2.217],[10.053],[12.27],[9.90242678],[12.27]
44,[-0.8211448],[1.059],[10.179],[9.12],[11.00014482],[9.12]
45,[-1.2787623],[-0.591],[4.419],[5.01],[5.69776234],[5.01]
46,[-0.97271234],[0.494],[4.124],[3.63],[5.09671234],[3.63]
47,[-0.78703624],[0.269],[2.599],[2.33],[3.38603624],[2.33]
48,[-0.532522],[0.294],[1.814],[1.52],[2.34652202],[1.52]
49,[-0.36725542],[0.328],[1.498],[1.17],[1.86525542],[1.17]
50,[0.3869259],[0.399],[1.629],[1.23],[1.24207409],[1.23]
