,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[0.4990083],[-0.078],[2.372],[2.45],[1.8729917],[2.45]
1,[0.513849],[-0.029],[1.871],[1.9],[1.35715098],[1.9]
2,[0.6135062],[-0.038],[1.562],[1.6],[0.9484938],[1.6]
3,[-0.02570239],[-2.919],[3.161],[6.08],[3.18670239],[6.08]
4,[0.21959044],[-8.664],[11.866],[20.53],[11.64640956],[20.53]
5,[2.3419979],[3.699],[16.879],[13.18],[14.53700214],[13.18]
6,[1.9737028],[0.871],[12.101],[11.23],[10.12729721],[11.23]
7,[0.725398],[1.399],[8.789],[7.39],[8.063602],[7.39]
8,[-0.4650493],[0.077],[5.257],[5.18],[5.7220493],[5.18]
9,[-0.7182574],[-0.548],[3.172],[3.72],[3.89025743],[3.72]
10,[-0.423848],[0.34],[3.23],[2.89],[3.653848],[2.89]
11,[0.30536026],[0.927],[3.277],[2.35],[2.97163974],[2.35]
12,[0.29055706],[0.796],[2.806],[2.01],[2.51544294],[2.01]
13,[0.33309728],[0.792],[2.482],[1.69],[2.14890272],[1.69]
14,[0.31979293],[0.576],[1.976],[1.4],[1.65620707],[1.4]
15,[0.14353734],[0.559],[1.729],[1.17],[1.58546266],[1.17]
16,[0.04765265],[0.5],[1.5],[1.],[1.45234735],[1.]
17,[0.22284533],[0.431],[1.301],[0.87],[1.07815467],[0.87]
18,[0.30705407],[0.377],[1.127],[0.75],[0.81994593],[0.75]
19,[0.40717962],[0.326],[0.976],[0.65],[0.56882038],[0.65]
20,[0.5834234],[0.431],[1.191],[0.76],[0.60757662],[0.76]
21,[-0.0857664],[0.946],[2.296],[1.35],[2.3817664],[1.35]
22,[0.66765195],[1.195],[2.605],[1.41],[1.93734805],[1.41]
23,[0.3835635],[0.679],[1.889],[1.21],[1.50543651],[1.21]
24,[0.32405505],[0.41],[1.46],[1.05],[1.13594495],[1.05]
25,[0.4480309],[0.358],[1.278],[0.92],[0.82996911],[0.92]
26,[0.56283504],[0.297],[1.107],[0.81],[0.54416496],[0.81]
27,[0.598233],[0.238],[0.958],[0.72],[0.35976702],[0.72]
28,[0.72707623],[0.198],[0.828],[0.63],[0.10092377],[0.63]
29,[0.85219896],[0.218],[0.808],[0.59],[-0.04419896],[0.59]
30,[0.6496078],[0.39],[0.99],[0.6],[0.34039222],[0.6]
31,[-0.07892606],[0.5],[1.88],[1.38],[1.95892606],[1.38]
32,[1.0405644],[-0.173],[3.277],[3.45],[2.23643558],[3.45]
33,[0.7762437],[-0.043],[2.847],[2.89],[2.07075631],[2.89]
34,[0.51539814],[0.039],[2.429],[2.39],[1.91360186],[2.39]
35,[0.30361673],[-0.443],[2.547],[2.99],[2.24338327],[2.99]
36,[-1.02952],[-2.787],[5.943],[8.73],[6.97252003],[8.73]
37,[1.5448238],[0.768],[7.738],[6.97],[6.19317623],[6.97]
38,[0.31157476],[0.124],[5.184],[5.06],[4.87242524],[5.06]
39,[-0.43663713],[-3.743],[7.397],[11.14],[7.83363713],[11.14]
40,[2.334549],[-1.109],[10.161],[11.27],[7.82645105],[11.27]
41,[0.81910074],[-1.174],[8.206],[9.38],[7.38689926],[9.38]
42,[1.3430113],[-7.79],[10.95],[18.74],[9.60698874],[18.74]
43,[1.0580318],[0.123],[10.253],[10.13],[9.1949682],[10.13]
44,[-0.23872271],[-0.711],[5.739],[6.45],[5.97772271],[6.45]
45,[-0.8419839],[-1.059],[3.621],[4.68],[4.46298391],[4.68]
46,[-0.84962],[-0.688],[2.862],[3.55],[3.71161998],[3.55]
47,[-0.95071495],[-0.076],[2.994],[3.07],[3.94471495],[3.07]
48,[-0.5728606],[0.193],[3.403],[3.21],[3.9758606],[3.21]
49,[-0.5184665],[0.285],[3.345],[3.06],[3.86346647],[3.06]
50,[-1.5709],[-0.265],[5.325],[5.59],[6.89589996],[5.59]
51,[0.24358603],[-4.043],[9.657],[13.7],[9.41341397],[13.7]
52,[3.9810584],[6.608],[20.128],[13.52],[16.14694164],[13.52]
53,[3.4976294],[4.063],[15.893],[11.83],[12.3953706],[11.83]
54,[1.2755136],[-1.68],[10.96],[12.64],[9.68448635],[12.64]
55,[2.274691],[-0.465],[38.805],[39.27],[36.5303089],[39.27]
56,[2.011587],[2.476],[19.956],[17.48],[17.9444131],[17.48]
57,[3.2708488],[8.477],[33.527],[25.05],[30.25615125],[25.05]
58,[3.6367745],[5.179],[22.119],[16.94],[18.48222546],[16.94]
59,[0.78079844],[-1.35],[10.88],[12.23],[10.09920156],[12.23]
60,[0.4734765],[-0.616],[7.464],[8.08],[6.9905235],[8.08]
61,[-1.0473226],[-0.929],[5.901],[6.83],[6.94832263],[6.83]
62,[-0.12437198],[-0.519],[4.631],[5.15],[4.75537198],[5.15]
63,[-0.25760695],[-0.829],[3.071],[3.9],[3.32860695],[3.9]
64,[-0.20622322],[-0.547],[2.493],[3.04],[2.69922322],[3.04]
65,[-0.18068221],[-0.4],[2.07],[2.47],[2.25068221],[2.47]
66,[-0.1127032],[-0.251],[1.829],[2.08],[1.9417032],[2.08]
67,[-0.05644375],[-0.168],[1.652],[1.82],[1.70844375],[1.82]
68,[-0.06267023],[-0.015],[1.795],[1.81],[1.85767023],[1.81]
69,[-0.03363875],[0.035],[2.075],[2.04],[2.10863875],[2.04]
70,[0.01577103],[0.777],[3.277],[2.5],[3.26122897],[2.5]
71,[-0.6696166],[-1.005],[7.185],[8.19],[7.85461658],[8.19]
72,[2.2617073],[3.215],[16.535],[13.32],[14.27329269],[13.32]
73,[2.6398833],[2.558],[12.988],[10.43],[10.34811672],[10.43]
74,[1.4765017],[0.822],[8.962],[8.14],[7.4854983],[8.14]
75,[0.1835035],[0.046],[6.086],[6.04],[5.90249651],[6.04]
76,[-1.139905],[-3.53],[7.82],[11.35],[8.95990498],[11.35]
77,[2.3115463],[-1.936],[11.004],[12.94],[8.69245367],[12.94]
78,[3.0548437],[-0.597],[11.543],[12.14],[8.48815634],[12.14]
79,[1.0580125],[1.495],[9.705],[8.21],[8.64698751],[8.21]
80,[0.88968563],[-0.723],[10.997],[11.72],[10.10731437],[11.72]
81,[1.1749444],[1.54],[10.44],[8.9],[9.2650556],[8.9]
82,[-0.06546962],[0.681],[7.571],[6.89],[7.63646962],[6.89]
83,[-0.16551968],[0.073],[5.638],[5.565],[5.80351968],[5.565]
84,[-0.19433886],[-0.712],[3.528],[4.24],[3.72233886],[4.24]
85,[-0.13479444],[-0.516],[2.694],[3.21],[2.82879444],[3.21]
86,[-0.12489152],[-0.353],[2.177],[2.53],[2.30189152],[2.53]
87,[-0.11178434],[-0.141],[1.919],[2.06],[2.03078434],[2.06]
88,[-0.41143164],[-0.272],[1.758],[2.03],[2.16943164],[2.03]
89,[-0.04156536],[-0.562],[2.578],[3.14],[2.61956536],[3.14]
90,[-0.46696922],[1.448],[5.418],[3.97],[5.88496922],[3.97]
91,[-0.05906612],[2.123],[6.993],[4.87],[7.05206612],[4.87]
92,[0.2980128],[0.646],[5.556],[4.91],[5.25798721],[4.91]
93,[0.00369424],[-0.405],[3.295],[3.7],[3.29130576],[3.7]
94,[-0.06169015],[-0.394],[2.536],[2.93],[2.59769015],[2.93]
95,[-0.07474527],[-0.327],[2.063],[2.39],[2.13774527],[2.39]
96,[-0.07713193],[-0.24],[1.81],[2.05],[1.88713193],[2.05]
97,[0.02987435],[-0.214],[1.596],[1.81],[1.56612565],[1.81]
98,[-0.05216756],[0.085],[1.635],[1.55],[1.68716756],[1.55]
99,[0.05023229],[0.235],[1.575],[1.34],[1.52476771],[1.34]
100,[-0.09221834],[-0.077],[1.503],[1.58],[1.59521834],[1.58]
101,[0.18164766],[-0.961],[2.009],[2.97],[1.82735234],[2.97]
102,[0.09301612],[-0.244],[2.236],[2.48],[2.14298388],[2.48]
103,[-0.06297052],[-0.265],[1.775],[2.04],[1.83797052],[2.04]
104,[-0.01238844],[-0.179],[1.551],[1.73],[1.56338844],[1.73]
105,[-0.12453499],[-0.103],[1.417],[1.52],[1.54153499],[1.52]
106,[0.15391512],[-0.012],[1.368],[1.38],[1.21408488],[1.38]
107,[0.12514031],[0.099],[1.379],[1.28],[1.25385969],[1.28]
108,[0.16070983],[0.339],[1.499],[1.16],[1.33829017],[1.16]
109,[-1.1591393],[-1.024],[5.256],[6.28],[6.41513928],[6.28]
110,[0.79045594],[1.749],[9.449],[7.7],[8.65854406],[7.7]
111,[1.7162523],[1.968],[8.848],[6.88],[7.13174767],[6.88]
112,[2.028589],[-0.29],[13.68],[13.97],[11.65141099],[13.97]
113,[2.8058786],[-1.004],[12.426],[13.43],[9.62012136],[13.43]
114,[3.5121572],[0.146],[11.326],[11.18],[7.8138428],[11.18]
115,[2.5370684],[3.171],[10.741],[7.57],[8.20393163],[7.57]
116,[1.1146886],[1.794],[7.394],[5.6],[6.27931137],[5.6]
117,[0.23455396],[0.006],[4.306],[4.3],[4.07144604],[4.3]
118,[-0.04607585],[-0.396],[2.834],[3.23],[2.88007585],[3.23]
119,[-0.04810357],[-0.248],[2.302],[2.55],[2.35010357],[2.55]
120,[-0.05699104],[-0.161],[1.929],[2.09],[1.98599104],[2.09]
121,[-0.02284005],[-0.062],[1.698],[1.76],[1.72084005],[1.76]
122,[0.04139066],[-0.021],[1.489],[1.51],[1.44760934],[1.51]
123,[-0.04153922],[-0.015],[1.305],[1.32],[1.34653922],[1.32]
124,[0.05254313],[-0.026],[1.144],[1.17],[1.09145687],[1.17]
125,[-0.04677033],[-0.038],[1.002],[1.04],[1.04877033],[1.04]
126,[-0.09848085],[-0.06],[0.91],[0.97],[1.00848085],[0.97]
127,[0.08892684],[-0.063],[0.847],[0.91],[0.75807316],[0.91]
128,[-0.06428698],[-0.03],[0.76],[0.79],[0.82428698],[0.79]
129,[-0.03015035],[-0.064],[0.666],[0.73],[0.69615035],[0.73]
130,[-0.06985757],[-0.082],[0.678],[0.76],[0.74785757],[0.76]
131,[-0.01780006],[-0.364],[0.716],[1.08],[0.73380006],[1.08]
