,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[-0.62795323],[-0.274],[0.756],[1.03],[1.38395323],[1.03]
1,[-0.5811982],[-0.256],[0.794],[1.05],[1.37519822],[1.05]
2,[-0.66079336],[-0.233],[0.797],[1.03],[1.45779336],[1.03]
3,[-0.7675276],[-0.287],[0.733],[1.02],[1.50052758],[1.02]
4,[-0.6751799],[-0.357],[0.773],[1.13],[1.4481799],[1.13]
5,[-0.59075963],[-0.372],[1.098],[1.47],[1.68875963],[1.47]
6,[-0.41246662],[-0.219],[1.311],[1.53],[1.72346662],[1.53]
7,[-0.5454885],[-0.261],[1.229],[1.49],[1.77448848],[1.49]
8,[-0.74565464],[-0.258],[1.142],[1.4],[1.88765464],[1.4]
9,[-0.8480206],[-0.27],[1.06],[1.33],[1.90802061],[1.33]
10,[-0.8589746],[-0.277],[0.983],[1.26],[1.84197458],[1.26]
11,[-0.80323595],[-0.291],[0.909],[1.2],[1.71223595],[1.2]
12,[-0.72547853],[-0.29],[0.84],[1.13],[1.56547853],[1.13]
13,[-0.6447015],[-0.296],[0.774],[1.07],[1.41870148],[1.07]
14,[-0.3518336],[-0.252],[0.778],[1.03],[1.12983361],[1.03]
15,[-0.16273697],[-0.174],[0.816],[0.99],[0.97873697],[0.99]
16,[-0.15861145],[-0.164],[0.786],[0.95],[0.94461145],[0.95]
17,[-0.25070167],[-0.185],[0.725],[0.91],[0.97570167],[0.91]
18,[-0.3855827],[-0.202],[0.668],[0.87],[1.05358269],[0.87]
19,[-0.48807737],[-0.22],[0.62],[0.84],[1.10807737],[0.84]
20,[-0.26918525],[-0.18],[0.62],[0.8],[0.88918525],[0.8]
21,[-0.14760041],[-0.124],[0.636],[0.76],[0.78360041],[0.76]
22,[-0.2139854],[-0.139],[0.601],[0.74],[0.8149854],[0.74]
23,[-0.05260856],[-0.094],[0.626],[0.72],[0.67860856],[0.72]
24,[-0.02722326],[-0.067],[0.643],[0.71],[0.67022326],[0.71]
25,[-0.19402581],[-0.099],[0.591],[0.69],[0.78502581],[0.69]
26,[-0.41001734],[-0.119],[0.551],[0.67],[0.96101734],[0.67]
27,[-0.44398808],[-0.129],[0.531],[0.66],[0.97498808],[0.66]
28,[-0.35956627],[-0.191],[0.519],[0.71],[0.87856627],[0.71]
29,[-0.8327954],[-0.048],[0.982],[1.03],[1.81479538],[1.03]
30,[-0.46351635],[0.409],[1.649],[1.24],[2.11251635],[1.24]
31,[-0.38663468],[0.341],[1.671],[1.33],[2.05763468],[1.33]
32,[-0.4632038],[0.134],[1.454],[1.32],[1.91720379],[1.32]
33,[-0.504542],[0.082],[1.352],[1.27],[1.85654199],[1.27]
34,[-0.48032433],[0.065],[1.285],[1.22],[1.76532433],[1.22]
35,[-0.2096102],[0.067],[1.307],[1.24],[1.51661019],[1.24]
36,[-0.30744478],[0.079],[1.329],[1.25],[1.63644478],[1.25]
37,[-0.00982053],[-0.131],[1.519],[1.65],[1.52882053],[1.65]
38,[-0.19792935],[-0.112],[1.728],[1.84],[1.92592935],[1.84]
39,[-0.26803082],[-0.218],[1.562],[1.78],[1.83003082],[1.78]
40,[-0.23118535],[-0.131],[1.599],[1.73],[1.83018535],[1.73]
41,[-0.09649538],[-0.069],[1.601],[1.67],[1.69749538],[1.67]
42,[0.02467171],[-0.056],[1.594],[1.65],[1.56932829],[1.65]
43,[-0.33184594],[0.274],[2.154],[1.88],[2.48584594],[1.88]
44,[-0.33681837],[0.58],[2.81],[2.23],[3.14681837],[2.23]
45,[-0.74200594],[0.432],[3.532],[3.1],[4.27400594],[3.1]
46,[-0.34143648],[-0.121],[3.999],[4.12],[4.34043648],[4.12]
47,[-0.21714336],[-0.232],[3.648],[3.88],[3.86514336],[3.88]
48,[-0.22988068],[-0.344],[3.186],[3.53],[3.41588068],[3.53]
49,[-0.09754241],[-0.144],[3.096],[3.24],[3.19354241],[3.24]
50,[-0.28866965],[0.301],[3.711],[3.41],[3.99966965],[3.41]
51,[-0.19844735],[0.358],[3.968],[3.61],[4.16644735],[3.61]
52,[-0.47866958],[0.438],[3.998],[3.56],[4.47666958],[3.56]
53,[-0.23178326],[0.984],[4.694],[3.71],[4.92578326],[3.71]
54,[0.00515856],[1.28],[5.13],[3.85],[5.12484144],[3.85]
55,[-0.12268341],[1.266],[4.876],[3.61],[4.99868341],[3.61]
56,[-0.11953655],[1.391],[5.061],[3.67],[5.18053655],[3.67]
57,[-0.09842683],[1.776],[5.406],[3.63],[5.50442683],[3.63]
58,[0.01744218],[2.193],[5.923],[3.73],[5.90555782],[3.73]
59,[0.10286851],[2.547],[6.567],[4.02],[6.46413149],[4.02]
60,[0.09201899],[2.336],[6.136],[3.8],[6.04398101],[3.8]
61,[0.03850891],[1.785],[5.215],[3.43],[5.17649109],[3.43]
62,[0.04206041],[1.382],[4.422],[3.04],[4.37993959],[3.04]
63,[0.02247343],[1.056],[3.756],[2.7],[3.73352657],[2.7]
64,[0.02317617],[0.852],[3.452],[2.6],[3.42882383],[2.6]
65,[-0.0641261],[0.628],[3.378],[2.75],[3.4421261],[2.75]
66,[-0.26677984],[0.487],[3.167],[2.68],[3.43377984],[2.68]
67,[-0.30757427],[0.303],[2.803],[2.5],[3.11057427],[2.5]
68,[-0.15145564],[0.085],[2.385],[2.3],[2.53645564],[2.3]
69,[-0.16019033],[-0.095],[2.015],[2.11],[2.17519033],[2.11]
70,[-0.20114255],[-0.139],[1.821],[1.96],[2.02214255],[1.96]
71,[-0.37364158],[-0.055],[1.745],[1.8],[2.11864158],[1.8]
72,[-0.45963082],[0.005],[1.665],[1.66],[2.12463082],[1.66]
73,[-0.1502146],[0.225],[1.795],[1.57],[1.9452146],[1.57]
74,[-0.2634095],[0.427],[1.897],[1.47],[2.1604095],[1.47]
