,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
0,[-0.10378334],[-0.148],[0.642],[0.79],[0.74578334],[0.79]
1,[-0.05442233],[-0.14],[0.61],[0.75],[0.66442233],[0.75]
2,[-0.13271374],[-0.156],[0.534],[0.69],[0.66671374],[0.69]
3,[-0.16190542],[-0.118],[0.522],[0.64],[0.68390542],[0.64]
4,[-0.2075026],[-0.109],[0.511],[0.62],[0.7185026],[0.62]
5,[-0.23227254],[-0.051],[0.589],[0.64],[0.82127254],[0.64]
6,[-0.17660499],[-0.027],[0.633],[0.66],[0.80960499],[0.66]
7,[-0.23013654],[-0.098],[0.552],[0.65],[0.78213654],[0.65]
8,[-0.2816073],[-0.117],[0.523],[0.64],[0.8046073],[0.64]
9,[-0.31736258],[-0.105],[0.515],[0.62],[0.83236258],[0.62]
10,[-0.34880805],[-0.086],[0.504],[0.59],[0.85280805],[0.59]
11,[-0.35366935],[-0.068],[0.492],[0.56],[0.84566935],[0.56]
12,[-0.35996208],[-0.049],[0.481],[0.53],[0.84096208],[0.53]
13,[-0.36727452],[-0.04],[0.47],[0.51],[0.83727452],[0.51]
14,[-0.37782604],[-0.031],[0.459],[0.49],[0.83682604],[0.49]
15,[-0.39890787],[-0.031],[0.449],[0.48],[0.84790787],[0.48]
16,[-0.41198242],[-0.042],[0.438],[0.48],[0.84998242],[0.48]
17,[-0.41951844],[-0.042],[0.428],[0.47],[0.84751844],[0.47]
18,[-0.42728025],[-0.052],[0.418],[0.47],[0.84528025],[0.47]
19,[-0.4353316],[-0.042],[0.408],[0.45],[0.84333161],[0.45]
20,[-0.44057798],[-0.051],[0.399],[0.45],[0.83957798],[0.45]
21,[-0.3008135],[0.283],[0.833],[0.55],[1.1338135],[0.55]
22,[-0.077298],[0.48],[1.06],[0.58],[1.137298],[0.58]
23,[-0.2016859],[0.332],[1.112],[0.78],[1.31368591],[0.78]
24,[-0.24380094],[-0.04],[1.54],[1.58],[1.78380094],[1.58]
25,[-0.2828488],[-1.372],[2.128],[3.5],[2.41084881],[3.5]
26,[-0.17614663],[-1.062],[3.548],[4.61],[3.72414663],[4.61]
27,[0.33747956],[1.364],[8.054],[6.69],[7.71652044],[6.69]
28,[0.9149332],[2.261],[10.331],[8.07],[9.4160668],[8.07]
29,[0.9827508],[0.88],[9.],[8.12],[8.01724923],[8.12]
30,[0.18303396],[-0.44],[4.5],[4.94],[4.31696604],[4.94]
31,[0.05491175],[-0.257],[2.803],[3.06],[2.74808825],[3.06]
32,[-0.1775862],[-0.409],[1.741],[2.15],[1.9185862],[2.15]
33,[-0.3598243],[-0.443],[1.287],[1.73],[1.6468243],[1.73]
34,[-0.3840928],[-0.493],[0.947],[1.44],[1.33109281],[1.44]
35,[-0.42236707],[-0.608],[0.612],[1.22],[1.03436707],[1.22]
36,[-0.43663862],[-0.574],[0.526],[1.1],[0.96263862],[1.1]
37,[-0.50434124],[-0.597],[0.683],[1.28],[1.18734124],[1.28]
38,[-0.18556453],[-0.604],[1.496],[2.1],[1.68156453],[2.1]
39,[0.07164969],[0.072],[2.222],[2.15],[2.15035031],[2.15]
40,[-0.01570164],[0.058],[2.128],[2.07],[2.14370164],[2.07]
41,[0.21832435],[-0.393],[3.527],[3.92],[3.30867565],[3.92]
42,[0.37522125],[2.696],[7.096],[4.4],[6.72077875],[4.4]
43,[0.90261877],[2.122],[9.622],[7.5],[8.71938123],[7.5]
44,[0.76435256],[-0.025],[7.295],[7.32],[6.53064744],[7.32]
45,[1.4003922],[4.599],[19.259],[14.66],[17.85860783],[14.66]
46,[1.0491376],[0.337],[10.027],[9.69],[8.97786241],[9.69]
47,[0.12472384],[-0.99],[3.73],[4.72],[3.60527616],[4.72]
48,[-0.2203866],[-1.051],[1.999],[3.05],[2.21938659],[3.05]
49,[-0.40647244],[-0.852],[1.608],[2.46],[2.01447244],[2.46]
50,[-0.3665751],[-0.732],[1.578],[2.31],[1.94457509],[2.31]
51,[-0.27710417],[-0.765],[1.615],[2.38],[1.89210417],[2.38]
52,[-0.23583794],[-0.375],[2.405],[2.78],[2.64083794],[2.78]
53,[0.13414034],[0.302],[4.002],[3.7],[3.86785966],[3.7]
54,[0.7735522],[2.815],[6.525],[3.71],[5.75144782],[3.71]
55,[0.5749718],[1.483],[5.103],[3.62],[4.5280282],[3.62]
