,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
665,[0.14309591],[0.278],[1.178],[0.9],[1.03490409],[0.9]
666,[0.34366295],[0.307],[1.197],[0.89],[0.85333705],[0.89]
667,[0.14818874],[0.231],[1.051],[0.82],[0.90281126],[0.82]
668,[0.0569101],[0.216],[0.976],[0.76],[0.9190899],[0.76]
669,[0.08139204],[0.212],[0.942],[0.73],[0.86060796],[0.73]
670,[0.07591583],[0.168],[0.878],[0.71],[0.80208417],[0.71]
671,[0.08257001],[0.12],[0.79],[0.67],[0.70742999],[0.67]
672,[0.03586375],[0.083],[0.753],[0.67],[0.71713625],[0.67]
673,[0.10545033],[0.072],[0.712],[0.64],[0.60654967],[0.64]
674,[-0.03393926],[-0.215],[0.755],[0.97],[0.78893926],[0.97]
675,[0.06983829],[-0.39],[0.99],[1.38],[0.92016171],[1.38]
676,[0.23146713],[-0.363],[1.077],[1.44],[0.84553287],[1.44]
677,[0.0725056],[-0.401],[0.999],[1.4],[0.9264944],[1.4]
678,[0.06438465],[-0.364],[0.896],[1.26],[0.83161535],[1.26]
679,[-0.07337552],[-0.742],[0.948],[1.69],[1.02137552],[1.69]
680,[0.09980202],[-0.681],[1.009],[1.69],[0.90919798],[1.69]
681,[-0.04431612],[-0.608],[0.992],[1.6],[1.03631612],[1.6]
682,[0.01297348],[-0.504],[1.056],[1.56],[1.04302652],[1.56]
683,[0.00979223],[-0.334],[1.096],[1.43],[1.08620777],[1.43]
684,[0.07294186],[-0.277],[1.043],[1.32],[0.97005814],[1.32]
685,[-0.20283833],[-0.298],[1.362],[1.66],[1.56483833],[1.66]
686,[0.06947602],[0.04],[1.84],[1.8],[1.77052398],[1.8]
687,[-0.04139433],[-0.143],[1.777],[1.92],[1.81839433],[1.92]
688,[-0.03884673],[-0.354],[1.806],[2.16],[1.84484673],[2.16]
689,[-0.02443681],[-0.431],[1.749],[2.18],[1.77343681],[2.18]
690,[-0.20666707],[-0.273],[2.327],[2.6],[2.53366707],[2.6]
691,[-1.0716401],[0.976],[4.766],[3.79],[5.83764013],[3.79]
692,[0.37659523],[2.399],[5.709],[3.31],[5.33240477],[3.31]
693,[0.38617265],[1.688],[4.288],[2.6],[3.90182735],[2.6]
694,[0.11888721],[0.961],[3.031],[2.07],[2.91211279],[2.07]
695,[-0.00371476],[0.459],[2.129],[1.67],[2.13271476],[1.67]
696,[-0.00438336],[0.13],[1.49],[1.36],[1.49438336],[1.36]
697,[-0.02111516],[0.088],[1.248],[1.16],[1.26911516],[1.16]
698,[0.04987921],[0.131],[1.131],[1.],[1.08112079],[1.]
699,[0.00861247],[0.129],[1.009],[0.88],[1.00038753],[0.88]
700,[0.04764372],[0.117],[0.937],[0.82],[0.88935628],[0.82]
701,[0.03581633],[0.127],[0.917],[0.79],[0.88118367],[0.79]
702,[0.00195005],[0.089],[0.999],[0.91],[0.99704995],[0.91]
703,[0.2497529],[0.135],[1.015],[0.88],[0.76524711],[0.88]
704,[0.1466429],[0.081],[0.881],[0.8],[0.73435711],[0.8]
705,[0.08819889],[0.002],[0.742],[0.74],[0.65380111],[0.74]
706,[0.03525105],[-0.071],[0.639],[0.71],[0.60374895],[0.71]
707,[0.02817647],[-0.084],[0.626],[0.71],[0.59782353],[0.71]
708,[0.02093945],[-0.06],[0.62],[0.68],[0.59906055],[0.68]
709,[0.08039221],[-0.052],[0.598],[0.65],[0.51760779],[0.65]
710,[0.07267576],[-0.053],[0.557],[0.61],[0.48432424],[0.61]
711,[0.05037579],[-0.06],[0.51],[0.57],[0.45962421],[0.57]
712,[-0.06870396],[-0.018],[0.552],[0.57],[0.62070396],[0.57]
713,[0.09741945],[0.013],[0.553],[0.54],[0.45558055],[0.54]
714,[0.02071128],[0.005],[0.495],[0.49],[0.47428872],[0.49]
715,[0.09653878],[-0.007],[0.463],[0.47],[0.36646122],[0.47]
716,[0.01595272],[-0.016],[0.424],[0.44],[0.40804728],[0.44]
717,[-0.00144826],[-0.04],[0.39],[0.43],[0.39144826],[0.43]
718,[-0.00260385],[-0.043],[0.357],[0.4],[0.35960385],[0.4]
719,[0.00731632],[-0.053],[0.327],[0.38],[0.31968368],[0.38]
720,[-0.06475382],[-0.049],[0.331],[0.38],[0.39575382],[0.38]
721,[-0.03756352],[-0.028],[0.392],[0.42],[0.42956352],[0.42]
722,[-0.18193385],[-0.137],[0.703],[0.84],[0.88493385],[0.84]
723,[0.35316926],[-0.045],[1.035],[1.08],[0.68183074],[1.08]
724,[0.22091845],[0.13],[1.16],[1.03],[0.93908155],[1.03]
725,[0.21564485],[0.177],[1.107],[0.93],[0.89135515],[0.93]
726,[0.16254604],[0.158],[1.008],[0.85],[0.84545396],[0.85]
727,[0.22014129],[0.137],[0.907],[0.77],[0.68685871],[0.77]
728,[0.20839795],[0.186],[0.876],[0.69],[0.66760205],[0.69]
729,[0.44071794],[0.265],[0.895],[0.63],[0.45428206],[0.63]
730,[0.49106008],[0.235],[0.815],[0.58],[0.32393992],[0.58]
731,[0.27634946],[0.207],[0.757],[0.55],[0.48065054],[0.55]
732,[0.33823413],[0.226],[0.756],[0.53],[0.41776587],[0.53]
733,[0.46627086],[0.182],[0.682],[0.5],[0.21572914],[0.5]
734,[0.27325386],[0.097],[0.567],[0.47],[0.29374614],[0.47]
735,[0.21722814],[0.083],[0.523],[0.44],[0.30577186],[0.44]
736,[0.15759175],[0.062],[0.482],[0.42],[0.32440825],[0.42]
737,[0.09229758],[0.056],[0.446],[0.39],[0.35370242],[0.39]
738,[0.00898519],[0.044],[0.414],[0.37],[0.40501481],[0.37]
739,[0.03054333],[0.043],[0.383],[0.34],[0.35245667],[0.34]
740,[0.02797855],[0.043],[0.353],[0.31],[0.32502145],[0.31]
741,[0.05980214],[0.035],[0.325],[0.29],[0.26519786],[0.29]
742,[0.05164645],[0.014],[0.304],[0.29],[0.25235355],[0.29]
743,[-0.24681441],[0.14],[0.54],[0.4],[0.78681441],[0.4]
744,[0.42550746],[0.311],[0.811],[0.5],[0.38549254],[0.5]
745,[0.06245002],[-0.29],[0.96],[1.25],[0.89754998],[1.25]
746,[-0.6205202],[0.08],[2.09],[2.01],[2.71052017],[2.01]
747,[-0.2999567],[0.904],[3.784],[2.88],[4.08395671],[2.88]
748,[0.6218953],[1.158],[4.278],[3.12],[3.65610469],[3.12]
749,[-0.9100755],[0.694],[5.104],[4.41],[6.01407549],[4.41]
750,[-0.6734837],[2.],[7.59],[5.59],[8.26348373],[5.59]
751,[0.56341195],[1.898],[6.538],[4.64],[5.97458805],[4.64]
752,[0.8454943],[1.304],[4.864],[3.56],[4.01850573],[3.56]
753,[0.38018808],[0.53],[3.76],[3.23],[3.37981192],[3.23]
754,[-1.2654606],[-0.032],[5.138],[5.17],[6.40346061],[5.17]
755,[0.20778881],[1.75],[5.87],[4.12],[5.66221119],[4.12]
756,[0.22685845],[1.532],[4.622],[3.09],[4.39514155],[3.09]
757,[0.3487894],[1.132],[3.522],[2.39],[3.17321061],[2.39]
758,[0.16000587],[0.582],[2.462],[1.88],[2.30199413],[1.88]
759,[0.098477],[0.204],[1.704],[1.5],[1.605523],[1.5]
760,[0.07792836],[0.05],[1.27],[1.22],[1.19207164],[1.22]
761,[0.07556349],[0.058],[1.088],[1.03],[1.01243651],[1.03]
762,[0.09246369],[0.054],[0.934],[0.88],[0.84153631],[0.88]
763,[0.10504463],[0.027],[0.797],[0.77],[0.69195537],[0.77]
764,[0.00771781],[0.004],[0.754],[0.75],[0.74628219],[0.75]
765,[-0.42407867],[-0.573],[1.087],[1.66],[1.51107867],[1.66]
766,[-1.0078913],[-0.672],[3.058],[3.73],[4.0658913],[3.73]
767,[-0.2632633],[-0.174],[4.886],[5.06],[5.14926329],[5.06]
768,[-0.9925968],[-0.758],[6.742],[7.5],[7.73459681],[7.5]
769,[-0.17921835],[0.772],[6.252],[5.48],[6.43121835],[5.48]
770,[-0.4333103],[0.375],[4.315],[3.94],[4.7483103],[3.94]
771,[-0.6133981],[0.174],[3.064],[2.89],[3.67739808],[2.89]
772,[-0.36382633],[-0.059],[2.161],[2.22],[2.52482633],[2.22]
773,[-0.262606],[-0.217],[1.533],[1.75],[1.79560599],[1.75]
774,[-0.2875638],[-0.164],[1.266],[1.43],[1.5535638],[1.43]
775,[-0.30947843],[-0.056],[1.164],[1.22],[1.47347843],[1.22]
776,[-0.16029878],[0.056],[1.116],[1.06],[1.27629878],[1.06]
777,[-0.13490717],[0.081],[1.001],[0.92],[1.13590717],[0.92]
778,[-0.14167568],[0.027],[0.857],[0.83],[0.99867568],[0.83]
779,[-0.50929254],[-0.563],[1.077],[1.64],[1.58629254],[1.64]
780,[-0.02170674],[-0.607],[2.413],[3.02],[2.43470674],[3.02]
781,[0.74283427],[0.35],[3.34],[2.99],[2.59716573],[2.99]
782,[0.24896859],[0.229],[2.729],[2.5],[2.48003141],[2.5]
