,Date,Q_obs,Q_sim,Residual,EPOT
0,2007-02-10,0.1,0.0,-0.1,0.18600000000000003
1,2007-02-11,0.06,0.0,-0.06,0.19
2,2007-02-12,0.04,0.0,-0.04,0.193
3,2007-02-13,0.02,0.0,-0.02,0.19699999999999998
4,2007-02-14,0.02,0.0,-0.02,0.2
5,2007-02-15,0.01,0.0,-0.01,0.217
6,2007-02-16,0.02,0.0,-0.02,0.233
7,2007-02-17,0.03,0.0,-0.03,0.25
8,2007-02-18,0.03,0.006,-0.024,0.267
9,2007-02-19,0.06,0.04,-0.019999999999999997,0.28300000000000003
10,2007-02-20,0.05,0.069,0.019000000000000003,0.3
11,2007-02-21,0.02,0.042,0.022000000000000002,0.317
12,2007-02-22,0.01,0.025,0.015000000000000001,0.33299999999999996
13,2007-02-23,0.01,0.02,0.01,0.35
14,2007-02-24,0.01,0.017,0.007000000000000001,0.36700000000000005
15,2007-02-25,0.01,0.015,0.004999999999999999,0.38299999999999995
16,2007-02-26,0.01,0.013000000000000001,0.003000000000000001,0.4
17,2007-02-27,0.02,0.011000000000000001,-0.009,0.41700000000000004
18,2007-02-28,0.02,0.01,-0.01,0.433
19,2007-03-01,0.02,0.009000000000000001,-0.011,0.45
20,2007-03-02,0.02,0.011000000000000001,-0.009,0.467
21,2007-03-03,0.02,0.013999999999999999,-0.006000000000000002,0.483
22,2007-03-04,0.02,0.012,-0.008,0.5
23,2007-03-05,0.02,0.01,-0.01,0.517
24,2007-03-06,0.02,0.013000000000000001,-0.006999999999999999,0.5329999999999999
25,2007-03-07,0.02,0.019,-0.0010000000000000009,0.55
26,2007-03-08,0.02,0.02,0.0,0.5670000000000001
27,2007-03-09,0.02,0.018000000000000002,-0.0019999999999999983,0.583
28,2007-03-10,0.02,0.015,-0.005000000000000001,0.6
29,2007-03-11,0.16,0.086,-0.07400000000000001,0.617
30,2007-03-12,0.37,0.257,-0.11299999999999999,0.633
31,2007-03-13,0.3,0.217,-0.08299999999999999,0.65
32,2007-03-14,0.26,0.157,-0.10300000000000001,0.667
33,2007-03-15,0.49,0.127,-0.363,0.6829999999999999
34,2007-03-16,0.43,0.1,-0.32999999999999996,0.7
35,2007-03-17,0.25,0.11199999999999999,-0.138,0.71
36,2007-03-18,0.16,0.124,-0.036000000000000004,0.72
37,2007-03-19,0.12,0.095,-0.024999999999999994,0.73
38,2007-03-20,0.09,0.063,-0.026999999999999996,0.74
39,2007-03-21,0.08,0.098,0.018000000000000002,0.75
40,2007-03-22,0.07,0.11900000000000001,0.049,0.76
41,2007-03-23,0.06,0.08199999999999999,0.021999999999999992,0.77
42,2007-03-24,0.1,0.098,-0.0020000000000000018,0.78
43,2007-03-25,0.19,0.159,-0.031,0.79
44,2007-03-26,0.16,0.17,0.010000000000000009,0.8
45,2007-03-27,0.14,0.126,-0.014000000000000012,0.81
46,2007-03-28,0.13,0.086,-0.04400000000000001,0.82
