,Date,Q_obs,Q_sim,Residual,EPOT
0,2000-01-01,0.15,0.0,-0.15,0.1
1,2000-01-02,0.22,0.013999999999999999,-0.20600000000000002,0.1
2,2000-01-03,0.28,0.022000000000000002,-0.258,0.1
3,2000-01-04,0.39,0.024,-0.366,0.1
4,2000-01-05,0.33,0.032,-0.29800000000000004,0.1
5,2000-01-06,1.2,0.036000000000000004,-1.164,0.1
6,2000-01-07,1.43,0.10300000000000001,-1.327,0.1
7,2000-01-08,1.86,0.124,-1.7360000000000002,0.1
8,2000-01-09,0.76,0.139,-0.621,0.1
9,2000-01-10,0.43,0.142,-0.28800000000000003,0.1
10,2000-01-11,0.68,0.155,-0.525,0.1
11,2000-01-12,0.74,0.209,-0.531,0.1
12,2000-01-13,0.55,0.34600000000000003,-0.20400000000000001,0.1
13,2000-01-14,0.36,0.33,-0.02999999999999997,0.1
14,2000-01-15,0.73,0.289,-0.441,0.1
15,2000-01-16,1.36,0.409,-0.9510000000000001,0.1
16,2000-01-17,0.51,0.39799999999999996,-0.11200000000000004,0.11
17,2000-01-18,0.57,0.316,-0.25399999999999995,0.114
18,2000-01-19,0.31,0.261,-0.04899999999999999,0.11699999999999999
19,2000-01-20,0.25,0.179,-0.07100000000000001,0.121
20,2000-01-21,0.21,0.166,-0.043999999999999984,0.124
21,2000-01-22,0.2,0.158,-0.04200000000000001,0.128
22,2000-01-23,0.18,0.15,-0.03,0.131
23,2000-01-24,0.17,0.14300000000000002,-0.026999999999999996,0.134
24,2000-01-25,0.25,0.14300000000000002,-0.10699999999999998,0.138
25,2000-01-26,0.85,0.39,-0.45999999999999996,0.141
26,2000-01-27,0.35,0.588,0.238,0.145
27,2000-01-28,0.24,0.392,0.15200000000000002,0.14800000000000002
28,2000-01-29,0.2,0.17600000000000002,-0.023999999999999994,0.152
29,2000-01-30,0.17,0.161,-0.009000000000000008,0.155
30,2000-01-31,0.17,0.153,-0.017000000000000015,0.159
31,2000-02-01,0.16,0.146,-0.014000000000000012,0.155
32,2000-02-02,0.16,0.138,-0.021999999999999992,0.159
33,2000-02-03,0.15,0.132,-0.017999999999999988,0.162
34,2000-02-04,0.24,0.136,-0.10399999999999998,0.166
35,2000-02-05,0.27,0.159,-0.11100000000000002,0.16899999999999998
36,2000-02-06,1.71,0.436,-1.274,0.172
37,2000-02-07,0.83,0.7879999999999999,-0.04200000000000004,0.17600000000000002
38,2000-02-08,0.57,0.8290000000000001,0.2590000000000001,0.179
39,2000-02-09,0.32,0.589,0.26899999999999996,0.183
40,2000-02-10,0.96,0.41,-0.55,0.18600000000000003
41,2000-02-11,0.99,0.415,-0.575,0.19
42,2000-02-12,0.61,0.34700000000000003,-0.26299999999999996,0.193
43,2000-02-13,0.49,0.21600000000000003,-0.27399999999999997,0.19699999999999998
44,2000-02-14,0.29,0.205,-0.08499999999999999,0.2
45,2000-02-15,0.23,0.20800000000000002,-0.021999999999999992,0.21600000000000003
46,2000-02-16,0.2,0.201,0.0010000000000000009,0.23199999999999998
47,2000-02-17,0.17,0.192,0.021999999999999992,0.248
48,2000-02-18,0.16,0.182,0.021999999999999992,0.265
49,2000-02-19,0.15,0.17300000000000001,0.02300000000000002,0.281
50,2000-02-20,0.14,0.16699999999999998,0.02699999999999997,0.297
51,2000-02-21,0.14,0.161,0.02099999999999999,0.313
52,2000-02-22,0.14,0.153,0.012999999999999984,0.32899999999999996
53,2000-02-23,0.13,0.146,0.015999999999999986,0.345
54,2000-02-24,0.12,0.145,0.024999999999999994,0.361
55,2000-02-25,0.14,0.14800000000000002,0.008000000000000007,0.377
56,2000-02-26,0.14,0.155,0.014999999999999986,0.39399999999999996
57,2000-02-27,1.13,0.5429999999999999,-0.587,0.41
58,2000-02-28,0.92,1.379,0.45899999999999996,0.426
59,2000-02-29,0.39,0.7829999999999999,0.3929999999999999,0.442
60,2000-03-01,0.29,0.439,0.14900000000000002,0.45799999999999996
61,2000-03-02,0.22,0.24600000000000002,0.026000000000000023,0.474
62,2000-03-03,0.17,0.19,0.01999999999999999,0.49
63,2000-03-04,0.15,0.18100000000000002,0.031000000000000028,0.506
64,2000-03-05,0.14,0.172,0.03199999999999997,0.523
65,2000-03-06,0.1,0.16399999999999998,0.06399999999999997,0.539
66,2000-03-07,0.17,0.156,-0.014000000000000012,0.555
67,2000-03-08,0.15,0.14800000000000002,-0.001999999999999974,0.5710000000000001
68,2000-03-09,0.13,0.141,0.010999999999999982,0.5870000000000001
69,2000-03-10,0.13,0.135,0.0050000000000000044,0.603
70,2000-03-11,0.12,0.128,0.008000000000000007,0.619
71,2000-03-12,0.12,0.122,0.0020000000000000018,0.635
72,2000-03-13,0.51,0.23600000000000002,-0.274,0.652
73,2000-03-14,0.47,0.451,-0.01899999999999996,0.6679999999999999
74,2000-03-15,0.24,0.426,0.186,0.684
75,2000-03-16,0.17,0.20600000000000002,0.036000000000000004,0.7
76,2000-03-17,0.16,0.14800000000000002,-0.011999999999999983,0.71
77,2000-03-18,0.39,0.499,0.10899999999999999,0.72
78,2000-03-19,3.41,1.011,-2.399,0.73
79,2000-03-20,2.18,1.281,-0.8990000000000002,0.74
80,2000-03-21,0.41,0.77,0.36000000000000004,0.75
81,2000-03-22,0.25,0.41,0.15999999999999998,0.76
82,2000-03-23,0.2,0.258,0.057999999999999996,0.77
83,2000-03-24,0.18,0.218,0.038000000000000006,0.78
84,2000-03-25,0.16,0.195,0.035,0.79
85,2000-03-26,0.16,0.188,0.027999999999999997,0.8
86,2000-03-27,0.14,0.179,0.03899999999999998,0.81
87,2000-03-28,0.13,0.171,0.04100000000000001,0.82
88,2000-03-29,1.96,0.18,-1.78,0.83
89,2000-03-30,1.5,0.313,-1.187,0.84
90,2000-03-31,0.44,0.342,-0.09799999999999998,0.85
91,2000-04-01,0.29,0.20600000000000002,-0.08399999999999996,0.86
92,2000-04-02,0.26,0.182,-0.07800000000000001,0.87
93,2000-04-03,0.16,0.17300000000000001,0.013000000000000012,0.88
94,2000-04-04,0.2,0.165,-0.035,0.89
