,Date,Q_obs,Q_sim,Residual,EPOT
0,2008-05-02,0.29,0.0,-0.29,1.713
1,2008-05-03,0.53,0.262,-0.268,1.755
2,2008-05-04,0.67,0.505,-0.16500000000000004,1.797
3,2008-05-05,0.92,0.511,-0.40900000000000003,1.839
4,2008-05-06,0.83,0.444,-0.38599999999999995,1.881
5,2008-05-07,0.68,0.315,-0.36500000000000005,1.923
6,2008-05-08,0.58,0.223,-0.357,1.965
7,2008-05-09,0.56,0.28,-0.28,2.006
8,2008-05-10,0.73,0.39,-0.33999999999999997,2.048
9,2008-05-11,0.75,0.41600000000000004,-0.33399999999999996,2.09
10,2008-05-12,0.69,0.35,-0.33999999999999997,2.1319999999999997
11,2008-05-13,0.65,0.374,-0.276,2.174
12,2008-05-14,0.59,0.37200000000000005,-0.21799999999999992,2.2159999999999997
13,2008-05-15,0.53,0.35100000000000003,-0.179,2.258
14,2008-05-16,0.49,0.33299999999999996,-0.15700000000000003,2.3
15,2008-05-17,0.47,0.325,-0.14499999999999996,2.34
16,2008-05-18,0.4,0.32,-0.08000000000000002,2.38
17,2008-05-19,0.38,0.309,-0.07100000000000001,2.42
18,2008-05-20,0.38,0.297,-0.08300000000000002,2.46
19,2008-05-21,0.36,0.285,-0.07500000000000001,2.5
20,2008-05-22,0.36,0.27,-0.08999999999999997,2.54
21,2008-05-23,0.36,0.256,-0.10399999999999998,2.58
22,2008-05-24,0.4,0.259,-0.14100000000000001,2.62
23,2008-05-25,0.55,0.272,-0.278,2.66
24,2008-05-26,0.72,0.294,-0.426,2.7
25,2008-05-27,0.93,0.304,-0.6260000000000001,2.74
26,2008-05-28,1.73,0.385,-1.345,2.78
27,2008-05-29,2.92,0.579,-2.341,2.82
28,2008-05-30,3.9,0.715,-3.185,2.86
29,2008-05-31,4.21,0.725,-3.485,2.9
30,2008-06-01,3.83,0.703,-3.1270000000000002,2.94
31,2008-06-02,4.22,0.698,-3.522,2.98
32,2008-06-03,5.65,0.624,-5.026000000000001,3.02
33,2008-06-04,4.38,0.483,-3.897,3.06
34,2008-06-05,3.01,0.43200000000000005,-2.578,3.1
35,2008-06-06,2.49,0.396,-2.0940000000000003,3.14
36,2008-06-07,1.98,0.36200000000000004,-1.6179999999999999,3.18
37,2008-06-08,1.5,0.33799999999999997,-1.162,3.22
38,2008-06-09,1.2,0.325,-0.875,3.26
39,2008-06-10,0.97,0.311,-0.659,3.3
40,2008-06-11,0.87,0.292,-0.5780000000000001,3.34
41,2008-06-12,0.9,0.26899999999999996,-0.631,3.38
42,2008-06-13,1.08,0.244,-0.8360000000000001,3.42
43,2008-06-14,1.27,0.221,-1.049,3.46
44,2008-06-15,1.48,0.198,-1.282,3.5
45,2008-06-16,1.71,0.177,-1.533,3.5
46,2008-06-17,1.8,0.157,-1.643,3.5
47,2008-06-18,1.68,0.139,-1.541,3.5
48,2008-06-19,1.65,0.139,-1.511,3.5
49,2008-06-20,1.87,0.366,-1.504,3.5
50,2008-06-21,1.96,0.525,-1.435,3.5
51,2008-06-22,2.93,0.40700000000000003,-2.523,3.5
52,2008-06-23,3.28,0.42200000000000004,-2.8579999999999997,3.5
53,2008-06-24,2.54,0.431,-2.109,3.5
54,2008-06-25,2.49,0.308,-2.1820000000000004,3.5
55,2008-06-26,2.51,0.272,-2.2379999999999995,3.5
56,2008-06-27,2.55,0.37200000000000005,-2.178,3.5
57,2008-06-28,2.03,0.409,-1.6209999999999998,3.5
58,2008-06-29,1.38,0.316,-1.0639999999999998,3.5
59,2008-06-30,1.03,0.297,-0.7330000000000001,3.5
60,2008-07-01,0.98,0.26899999999999996,-0.7110000000000001,3.5
61,2008-07-02,1.06,0.243,-0.8170000000000001,3.5
62,2008-07-03,1.04,0.21899999999999997,-0.8210000000000001,3.5
63,2008-07-04,0.94,0.196,-0.744,3.5
64,2008-07-05,0.79,0.183,-0.607,3.5
65,2008-07-06,0.67,0.171,-0.499,3.5
66,2008-07-07,0.58,0.152,-0.42799999999999994,3.5
67,2008-07-08,0.5,0.134,-0.366,3.5
68,2008-07-09,0.44,0.11699999999999999,-0.323,3.5
69,2008-07-10,0.39,0.102,-0.28800000000000003,3.5
70,2008-07-11,0.35,0.08800000000000001,-0.26199999999999996,3.5
71,2008-07-12,0.32,0.075,-0.245,3.5
72,2008-07-13,0.29,0.062,-0.22799999999999998,3.5
73,2008-07-14,0.27,0.051,-0.21900000000000003,3.5
74,2008-07-15,0.25,0.040999999999999995,-0.20900000000000002,3.5
75,2008-07-16,0.23,0.031,-0.199,3.5
76,2008-07-17,0.23,0.124,-0.10600000000000001,3.4610000000000003
77,2008-07-18,0.23,0.16699999999999998,-0.06300000000000003,3.423
78,2008-07-19,0.22,0.10099999999999999,-0.11900000000000001,3.384
79,2008-07-20,0.2,0.08900000000000001,-0.111,3.345
80,2008-07-21,0.19,0.076,-0.114,3.306
81,2008-07-22,0.21,0.156,-0.05399999999999999,3.2680000000000002
82,2008-07-23,0.21,0.28,0.07000000000000003,3.2289999999999996
83,2008-07-24,0.22,0.287,0.06699999999999998,3.19
84,2008-07-25,0.23,0.204,-0.026000000000000023,3.1519999999999997
85,2008-07-26,0.26,0.184,-0.07600000000000001,3.113
86,2008-07-27,0.29,0.18,-0.10999999999999999,3.074
87,2008-07-28,0.33,0.171,-0.159,3.035
88,2008-07-29,0.34,0.155,-0.18500000000000003,2.997
89,2008-07-30,0.33,0.14400000000000002,-0.186,2.958
90,2008-07-31,0.31,0.135,-0.175,2.9189999999999996
91,2008-08-01,0.31,0.142,-0.168,2.8810000000000002
92,2008-08-02,0.46,0.185,-0.275,2.842
93,2008-08-03,0.79,0.23600000000000002,-0.554,2.803
94,2008-08-04,0.86,0.217,-0.643,2.765
95,2008-08-05,0.7,0.198,-0.502,2.7260000000000004
96,2008-08-06,0.55,0.179,-0.37100000000000005,2.687
97,2008-08-07,0.46,0.161,-0.29900000000000004,2.648
98,2008-08-08,0.4,0.157,-0.24300000000000002,2.61
99,2008-08-09,0.35,0.152,-0.19799999999999998,2.571
100,2008-08-10,0.32,0.13699999999999998,-0.18300000000000002,2.532
101,2008-08-11,0.28,0.122,-0.15800000000000003,2.494
102,2008-08-12,0.25,0.10800000000000001,-0.142,2.455
103,2008-08-13,0.23,0.096,-0.134,2.416
104,2008-08-14,0.24,0.11199999999999999,-0.128,2.377
105,2008-08-15,0.28,0.36,0.07999999999999996,2.339
106,2008-08-16,0.32,0.501,0.181,2.3
107,2008-08-17,0.36,0.364,0.0040000000000000036,2.2569999999999997
108,2008-08-18,0.36,0.248,-0.11199999999999999,2.213
109,2008-08-19,0.34,0.222,-0.11800000000000002,2.17
110,2008-08-20,0.3,0.20199999999999999,-0.098,2.127
111,2008-08-21,0.27,0.184,-0.08600000000000002,2.083
